Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Z. Masawi,Byasier Pujan,FW,22,1998,0.87,-0.09,0.03,0.01,,-0.01,0.08,,,,-0.05,0.1,Tournament,2020,,,,,,
Z. Namiiro,Byasier Pujan,FW,29,1992,3.15,-0.03,1.9,0.27,16.68,1.99,0.41,-0.06,0.01,,0.09,-0.09,Tournament,2020,,,,,,
Y. Saar,Byasier Pujan,FWMF,34,1986,0.15,-0.04,10.03,-0.05,0.04,14.93,-0.04,-0.09,,,-0.03,-0.04,Tournament,2020,,,,,,
A. Bianco,Byasier Pujan,GK,33,1988,1.98,0.06,-0.04,0.02,,0.02,-0.07,,,,0.03,-0.05,Tournament,2020,,,,,,
O. Nabunya,Byasier Pujan,GK,32,1989,4.03,-0.1,-0.08,-0.04,,0.03,-0.02,,,,0.09,0.07,Tournament,2020,,,,,,
A. Ashaba,Byasier Pujan,MF,28,1993,1.79,0,0.6,0.04,0,0.52,-0.1,-0.06,,,-0.05,-0.06,Tournament,2020,,,,,,
G. Hartmann,Byasier Pujan,MF,24,1997,2.36,0.45,0.86,0.9,100.02,0.82,0.85,0.58,0.45,,0.04,-0.07,Tournament,2020,,,,,,
H. Gaillard,Byasier Pujan,MF,24,1997,5.98,0.03,0.6,0.34,50.06,0.76,0.3,0.06,0.08,,-0.1,0.07,Tournament,2020,,,,,,
W. Nabuuma,Byasier Pujan,MF,30,1991,3.08,0.02,0.96,0.09,0.02,0.92,-0.06,-0.05,,,0.04,0.07,Tournament,2020,,,,,,
V. Waswa,Byasier Pujan,MFFW,30,1990,5.72,0.47,1.89,1.28,63.57,1.93,1.19,0.35,0.45,,0.02,-0.03,Tournament,2020,,,,,,
B. Balodis,Cabballi,DF,21,2000,1.99,-0.1,0.01,0.05,,0.03,0.07,,,,-0.1,0.05,Tournament,2020,,,,,,
B. Maman,Cabballi,DF,25,1996,3.75,0.06,-0.07,0.02,,-0.01,-0.01,,,,0.09,-0.05,Tournament,2020,,,,,,
F. Leitner,Cabballi,DF,26,1995,1.58,-0.06,-0.1,0.07,,0,-0.06,,,,-0.08,0,Tournament,2020,,,,,,
J. Jha,Cabballi,DF,28,1993,6.09,0,0.65,0.02,-0.01,0.64,-0.04,-0.06,,,-0.01,-0.1,Tournament,2020,,,,,,
M. Mayr,Cabballi,DF,31,1990,0.95,-0.04,0.02,0.03,,0,-0.04,,,,0.04,-0.1,Tournament,2020,,,,,,
U. Abonyo,Cabballi,DF,32,1989,2.14,-0.01,0.08,-0.03,,0.1,0.02,,,,-0.1,-0.03,Tournament,2020,,,,,,
X. Imalingat,Cabballi,DF,27,1994,3.48,0.03,0.67,-0.07,-0.02,0.69,0.03,0.01,,,-0.01,0.1,Tournament,2020,,,,,,
A. Kasaija,Cabballi,DFMF,24,1997,2.68,0,0.01,-0.01,,-0.08,0.08,,,,0.1,-0.07,Tournament,2020,,,,,,
F. Palumbo,Cabballi,DFMF,27,1994,0.59,0.02,3.42,-0.03,-0.09,3.3,-0.03,-0.05,,,0.07,-0.06,Tournament,2020,,,,,,
W. Fatimah,Cabballi,DFMF,34,1987,0.08,0.1,0.06,0.09,,0.02,0.06,,,,0.01,0.08,Tournament,2020,,,,,,
B. Leone,Cabballi,FW,28,1993,2.23,-0.05,3.08,1.31,42.92,2.94,1.21,0.09,-0.04,,-0.08,0.05,Tournament,2020,,,,,,
D. Tushabe,Cabballi,FW,20,2001,0.73,0.05,1.38,1.53,99.96,1.47,1.34,-0.1,-0.03,,-0.08,0.04,Tournament,2020,,,,,,
D. Vincent,Cabballi,FW,33,1988,3.09,0.04,3.17,0.02,0.08,3.2,0,-0.04,,,0.09,0.06,Tournament,2020,,,,,,
E. Hagen,Cabballi,FW,18,2003,1.5,-0.09,0.01,-0.05,,0.03,0.09,,,,-0.04,0.08,Tournament,2020,,,,,,
H. Okot,Cabballi,FW,25,1996,1.92,0.09,-0.08,-0.09,,0.05,0.06,,,,0.02,0.01,Tournament,2020,,,,,,
Q. Murray,Cabballi,FW,24,1997,0.17,0.08,-0.09,-0.08,,0.02,0.1,,,,0.07,-0.09,Tournament,2020,,,,,,
C. Blanchard,Cabballi,FWDF,25,1995,2.09,-0.06,0.97,0.08,0.05,0.96,-0.02,-0.01,,,-0.01,0.07,Tournament,2020,,,,,,
K. Alinaitwe,Cabballi,FWMF,20,2001,4.34,-0.08,-0.04,-0.02,,-0.02,-0.05,,,,0.01,-0.1,Tournament,2020,,,,,,
K. Salim,Cabballi,FWMF,25,1995,0.08,-0.04,-0.07,-0.08,,0,-0.03,,,,-0.05,0.01,Tournament,2020,,,,,,
R. Wada,Cabballi,FWMF,25,1996,5.61,0.02,2.35,0.71,30.86,2.31,0.69,-0.08,-0.03,,0.02,0,Tournament,2020,,,,,,
A. Ková?,Cabballi,GK,22,1999,3.04,-0.03,0.02,-0.1,,0.08,0.08,,,,0.05,0.08,Tournament,2020,,,,,,
M. Mwale,Cabballi,GK,22,1998,2.91,0.06,0.07,-0.01,,0.05,-0.08,,,,-0.05,0.07,Tournament,2020,,,,,,
A. Ado,Cabballi,MF,23,1998,5.77,0.39,2,0.34,18.11,1.89,0.42,0.02,0.5,,0.2,0.1,Tournament,2020,,,,,,
F. Masuda,Cabballi,MF,25,1996,0.48,0.08,0.01,0.04,,0.07,0.07,,,,0.04,0.04,Tournament,2020,,,,,,
H. Salo,Cabballi,MF,28,1993,3.37,0.1,0.28,0.36,99.92,0.22,0.38,0.07,0,,0.04,0.04,Tournament,2020,,,,,,
M. Bertrand,Cabballi,MF,26,1995,0.1,0.08,-0.03,-0.06,,0.09,0.02,,,,0.02,-0.1,Tournament,2020,,,,,,
Y. Liew,Cabballi,MF,26,1995,1.98,-0.05,2.16,0.49,25.09,2.05,0.43,0.04,0,,0.05,0.1,Tournament,2020,,,,,,
N. Kok,Cabballi,MFDF,25,1996,4.07,0.09,0.74,0.24,33.33,0.83,0.29,-0.06,0.04,,0.06,-0.09,Tournament,2020,,,,,,
G. Gwenzi,Cabral Retrea,DF,26,1995,1,0.09,1.03,-0.09,-0.09,1.05,-0.08,0.07,,,0.04,-0.02,Tournament,2020,,,,,,
I. Tumwesige,Cabral Retrea,DF,28,1993,3.04,-0.01,0.3,0.02,0.06,0.27,-0.07,0.1,,,0.08,0,Tournament,2020,,,,,,
J. Laurent,Cabral Retrea,DF,31,1989,1.82,-0.04,0.54,0.04,-0.03,0.56,-0.05,0.01,,,0.01,-0.02,Tournament,2020,,,,,,
O. Ajambo,Cabral Retrea,DF,29,1992,4.04,0.01,1.26,0,-0.1,1.3,-0.03,0.09,,,0.01,-0.01,Tournament,2020,,,,,,
Q. Soliman,Cabral Retrea,DF,24,1997,1.01,0.05,0.99,1.06,99.94,0.95,1.05,0.09,-0.05,,-0.04,-0.07,Tournament,2020,,,,,,
R. Muchanga,Cabral Retrea,DF,35,1986,0.94,0.91,1.97,1.05,50.06,2.02,0.97,0.55,0.98,,0.07,0.04,Tournament,2020,,,,,,
T. Tsui,Cabral Retrea,DF,27,1994,0.97,-0.02,1.06,-0.03,0.04,1.09,-0.09,-0.04,,,0.07,-0.04,Tournament,2020,,,,,,
T. Umar,Cabral Retrea,DF,25,1996,1.14,0.08,0.07,-0.06,,0.1,-0.03,,,,0.03,-0.06,Tournament,2020,,,,,,
Z. Abur,Cabral Retrea,DF,29,1992,3.72,-0.06,0.33,0.04,0.01,0.24,0.03,0.04,,,-0.07,0.07,Tournament,2020,,,,,,
I. Kakaire,Cabral Retrea,DFMF,29,1992,0.03,0.03,0.08,-0.01,,-0.03,0.09,,,,0.06,0.01,Tournament,2020,,,,,,
A. Matsuda,Cabral Retrea,FW,23,1998,1.07,0.03,0.07,0.05,,0.09,-0.08,,,,-0.08,-0.06,Tournament,2020,,,,,,
B. Dewi,Cabral Retrea,FW,34,1986,0.62,0.06,3.31,-0.07,0.05,3.18,-0.09,-0.02,,,0.06,0,Tournament,2020,,,,,,
D. Serra,Cabral Retrea,FW,27,1994,1.67,0,3.74,0.73,16.73,3.72,0.67,-0.09,-0.03,,-0.06,0,Tournament,2020,,,,,,
E. Putri,Cabral Retrea,FW,26,1995,1.05,-0.01,-0.03,0.1,,0.09,-0.06,,,,0.08,0.02,Tournament,2020,,,,,,
H. Green,Cabral Retrea,FW,35,1986,1.35,-0.05,0.79,-0.04,-0.02,0.68,0,-0.08,,,0.02,0.05,Tournament,2020,,,,,,
H. Hara,Cabral Retrea,FW,26,1994,0.98,0.08,2,-0.03,0.04,2.13,0.01,-0.03,,,-0.07,0.01,Tournament,2020,,,,,,
N. Laitinen,Cabral Retrea,FW,25,1996,2.06,0.56,3.48,2.5,71.43,3.38,2.36,0.04,0.26,,0.08,0,Tournament,2020,,,,,,
R. Lau,Cabral Retrea,FW,23,1998,0.61,0.05,1.47,1.39,100.03,1.47,1.41,-0.01,-0.08,,0.03,-0.04,Tournament,2020,,,,,,
X. Fumo,Cabral Retrea,FW,30,1991,3.39,0.32,1.17,1.16,99.98,1.12,1.21,0.18,0.22,,0.03,0.04,Tournament,2020,,,,,,
M. Agyekum,Cabral Retrea,FWMF,28,1993,0.08,-0.06,-0.09,-0.06,,0.1,-0.08,,,,0.1,0.03,Tournament,2020,,,,,,
P. Namawejje,Cabral Retrea,FWMF,33,1988,0.24,4.92,4.95,4.94,99.95,5.28,5.37,1.08,0.99,,0.06,-0.03,Tournament,2020,,,,,,
O. Noor,Cabral Retrea,GK,35,1986,4.92,0.03,-0.06,0.04,,-0.02,-0.05,,,,0.08,-0.02,Tournament,2020,,,,,,
B. Atiku,Cabral Retrea,MF,31,1990,3.13,0.34,1.26,0.27,24.95,1.33,0.36,0.29,1,,0.05,0.07,Tournament,2020,,,,,,
B. Ojiambo,Cabral Retrea,MF,33,1988,1.14,0.08,0.06,-0.01,,-0.05,-0.02,,,,-0.05,0.09,Tournament,2020,,,,,,
C. Yiga,Cabral Retrea,MF,29,1992,2.24,0.09,0.94,-0.04,0.03,0.96,0.08,-0.06,,,-0.08,-0.01,Tournament,2020,,,,,,
I. Chiu,Cabral Retrea,MF,25,1996,3.05,-0.06,1.3,0.61,50.01,1.26,0.66,0.06,0.03,,0.09,0.03,Tournament,2020,,,,,,
L. Nandutu,Cabral Retrea,MF,34,1986,1.06,-0.02,-0.03,0.07,,0.02,0.09,,,,-0.03,-0.1,Tournament,2020,,,,,,
M. Zaki,Cabral Retrea,MF,32,1989,0.67,0.06,0.06,0.1,,-0.1,-0.01,,,,0.01,0.09,Tournament,2020,,,,,,
R. Mar,Cabral Retrea,MF,24,1997,1.89,0.07,0.51,0.5,100.02,0.44,0.48,0.01,0.04,,-0.02,0.07,Tournament,2020,,,,,,
Z. Rozman,Cabral Retrea,MF,28,1993,3,-0.01,2.92,1.04,33.38,2.98,1.04,-0.02,-0.05,,-0.09,0.06,Tournament,2020,,,,,,
F. Juárez,Cabral Retrea,MFFW,23,1998,1.4,-0.02,-0.05,-0.09,,0.01,-0.03,,,,-0.04,-0.06,Tournament,2020,,,,,,
C. Gonçalves,Cuandbo,DF,26,1995,3.03,-0.09,-0.01,0,,0,0,,,,0.02,-0.08,Tournament,2020,,,,,,
C. Tso,Cuandbo,DF,35,1986,0.74,0.03,-0.04,-0.03,,0.05,0.09,,,,0.07,0.04,Tournament,2020,,,,,,
L. Betancourt,Cuandbo,DF,36,1984,2.55,0.33,0.39,0.38,100.04,0.32,0.47,0.93,1.07,,0.01,-0.01,Tournament,2020,,,,,,
M. Larsen,Cuandbo,DF,28,1993,3.86,0.05,0.33,0.04,0.06,0.3,0.08,-0.04,,,0.1,-0.08,Tournament,2020,,,,,,
T. Adero,Cuandbo,DF,28,1993,5.01,0.05,-0.03,0.05,,-0.01,0.05,,,,-0.02,-0.03,Tournament,2020,,,,,,
T. Lopes,Cuandbo,DF,32,1989,1.05,0.1,-0.08,0.03,,-0.05,-0.09,,,,-0.07,-0.09,Tournament,2020,,,,,,
X. Nanyonga,Cuandbo,DF,39,1982,2.1,0,0.56,0.03,0.02,0.5,0.04,0.02,,,-0.04,-0.08,Tournament,2020,,,,,,
Y. Xie,Cuandbo,DF,31,1990,3.52,0.03,0.31,0.35,99.97,0.35,0.32,0.02,0.05,,-0.01,-0.03,Tournament,2020,,,,,,
C. O'Neill,Cuandbo,FW,31,1990,0.22,-0.01,0.02,-0.06,,0.04,-0.02,,,,-0.04,-0.03,Tournament,2020,,,,,,
D. Wanjala,Cuandbo,FW,28,1993,0.72,1.27,0.03,0.07,,-0.04,0.03,,,,0.03,0.05,Tournament,2020,,,,,,
D. Yeung,Cuandbo,FW,24,1997,4.8,0.01,0.7,0.27,33.27,0.57,0.25,-0.07,-0.09,,0.04,-0.07,Tournament,2020,,,,,,
N. Nowak,Cuandbo,FW,32,1989,0.37,0.05,3.42,3.29,99.92,3.2,3.15,0.09,-0.02,,0.09,-0.1,Tournament,2020,,,,,,
S. Albrecht,Cuandbo,FW,31,1990,0.58,1.95,2.03,2.01,99.94,2.08,2.11,1.04,0.97,,-0.02,0.02,Tournament,2020,,,,,,
V. Cohen,Cuandbo,FW,29,1992,4.39,0.05,0.71,0.51,66.69,0.63,0.48,0.06,0.1,,0.05,-0.01,Tournament,2020,,,,,,
L. Sartori,Cuandbo,FWMF,37,1984,0.63,0.07,0.08,-0.07,,0.07,0.04,,,,-0.02,-0.05,Tournament,2020,,,,,,
M. Ouma,Cuandbo,GK,32,1989,1.45,-0.05,0.1,0.02,,-0.06,-0.09,,,,-0.05,0.01,Tournament,2020,,,,,,
X. Adikini,Cuandbo,GK,26,1995,1.92,0.08,-0.01,-0.01,,0.03,-0.04,,,,-0.06,0.01,Tournament,2020,,,,,,
Z. Thomson,Cuandbo,GK,37,1984,2.52,0.09,0.09,0.05,,0.03,0.09,,,,-0.05,0.03,Tournament,2020,,,,,,
C. Bagonza,Cuandbo,MF,18,2003,-0.02,0.02,0.06,0.04,,0.09,-0.08,,,,0.1,-0.05,Tournament,2020,,,,,,
D. Namaganda,Cuandbo,MF,22,1999,1.83,-0.01,0.5,0.47,99.99,0.59,0.62,0.04,0.06,,-0.04,-0.01,Tournament,2020,,,,,,
E. Rudenko,Cuandbo,MF,32,1989,0.79,0.06,-0.02,0.09,,-0.03,-0.08,,,,-0.05,0.03,Tournament,2020,,,,,,
J. Namakoye,Cuandbo,MF,33,1988,5.47,0.08,0.61,0.13,33.38,0.6,0.27,-0.08,-0.08,,-0.08,0.23,Tournament,2020,,,,,,
K. Nagujja,Cuandbo,MF,31,1990,2.41,0,0.39,-0.02,0.02,0.49,0.04,0.05,,,-0.09,-0.03,Tournament,2020,,,,,,
O. Daniel,Cuandbo,MF,28,1993,1.65,-0.08,0.67,0.01,0.1,0.53,0.03,0.07,,,0.07,0.03,Tournament,2020,,,,,,
Q. Nyachwo,Cuandbo,MF,23,1998,0.68,-0.01,1.48,1.52,99.94,1.34,1.44,-0.07,-0.04,,-0.08,0.07,Tournament,2020,,,,,,
T. Juma,Cuandbo,MF,22,1998,1.13,-0.05,-0.07,0.08,,0.04,-0.06,,,,-0.09,-0.09,Tournament,2020,,,,,,
Z. Angom,Cuandbo,MF,19,2002,0.53,-0.07,-0.1,0.02,,0.03,0.05,,,,-0.01,-0.08,Tournament,2020,,,,,,
M. Munguambe,Cuandbo,MFDF,30,1991,5.5,0.09,0.48,0.21,33.29,0.54,0.27,-0.04,-0.09,,0.06,-0.09,Tournament,2020,,,,,,
W. Walsh,Cuandbo,MFDF,34,1987,4.06,-0.07,-0.09,0,,-0.04,-0.09,,,,-0.01,-0.05,Tournament,2020,,,,,,
B. Kor,Cuandbo,MFFW,32,1989,2.06,0.04,1.56,0.07,-0.03,1.46,-0.07,0.07,,,-0.01,0,Tournament,2020,,,,,,
C. Egl?tis,Dastatesne,DF,23,1998,0.5,0.06,0.01,0.05,,0.05,0.06,,,,-0.02,0.07,Tournament,2020,,,,,,
F. Tomi?,Dastatesne,DF,24,1997,-0.06,-0.08,0.04,-0.09,,-0.02,0.05,,,,-0.05,0.07,Tournament,2020,,,,,,
G. Kennedy,Dastatesne,DF,34,1986,2.32,-0.04,-0.08,-0.02,,-0.1,0.08,,,,-0.05,-0.09,Tournament,2020,,,,,,
I. Acam,Dastatesne,DF,32,1989,1.07,-0.09,-0.05,0.01,,0,-0.04,,,,-0.1,0.06,Tournament,2020,,,,,,
J. Hussein,Dastatesne,DF,33,1987,5.99,-0.06,0.08,-0.01,-0.06,0.12,-0.04,0.1,,,0.06,0.05,Tournament,2020,,,,,,
K. Sharifi,Dastatesne,DF,23,1998,0.44,0.01,0.01,-0.1,,-0.02,0.05,,,,0.09,0.1,Tournament,2020,,,,,,
N. Dauda,Dastatesne,DF,29,1992,2.3,0.04,0.01,0.03,,-0.03,0.03,,,,-0.04,-0.05,Tournament,2020,,,,,,
M. Akpan,Dastatesne,DFFW,30,1991,3.91,0.08,0.47,-0.06,0.03,0.47,0.02,0,,,-0.02,-0.06,Tournament,2020,,,,,,
P. binti Ibrahim,Dastatesne,DFMF,28,1992,5.84,0.02,0.36,0.19,49.94,0.32,0.15,-0.06,-0.03,,-0.02,-0.02,Tournament,2020,,,,,,
I. De Graaf,Dastatesne,FW,25,1996,0.85,-0.04,1.26,-0.02,0.02,1.33,-0.05,0.02,,,0.03,0.07,Tournament,2020,,,,,,
N. Khalil,Dastatesne,FW,29,1992,2.75,-0.07,3.01,1.07,37.58,3.07,1.06,0.08,-0.01,,0.07,-0.05,Tournament,2020,,,,,,
