"","�..Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"44","F. Cho","Southern Ristan","FWMF","Fighting Cougars",24,1994,22.2,0.22,1.85,0.66,30.94,1.9,0.57,0.08,0.31,15.99,0.09,-0.05,-0.02,0.15,0.18,0.06,0.09,-0.08,25.49,35.61,71.2,492.09,160.31,10.92,13.95,78.19,10.51,13.8,76.7,3.75,6.09,59.44,0.13,0.13,-0.09,1.6,2,1.4,0.31,4.57,1.19,0.72,0.66,0.46,0.13,0.46,1.76,23.07,1.37,16.67,4.48,26.76,3.3,7.62,5.97,1.28,0.1,-0.08,1.29,0.49,1.73,0.14,-0.09,"A",2020
"46","I. Azulay","Byasier Pujan","MF","Fighting Cougars",27,1991,31.37,-0.02,0.97,0.25,25.79,1.09,0.26,-0.05,0.18,20.23,-0.04,-0.01,0.05,0.03,0,0.06,0.08,-0.02,47.23,56.7,83.01,914.32,262.22,17.67,20.15,86.85,22.55,25.91,87.29,6.37,8.77,73.37,0.13,0.13,-0.05,0.78,5.36,0.76,0.22,5.91,1.9,1.27,0.97,0.63,0.13,0.74,2.16,32.48,1.55,15.33,4.64,29.89,6.28,7.44,1.74,1.23,0.38,-0.03,0.99,0.92,2.9,1.31,0.11,"A",2020
"47","T. Ansari","People's Land of Maneau","MF","Fighting Cougars",30,1989,28.01,0.02,0.58,0.13,11.18,0.65,0.1,-0.03,0.04,24.8,-0.08,-0.09,-0.08,0.06,-0.07,0.11,0.01,-0.01,50.68,58.41,86.64,1065.84,249.86,15.87,17.8,89.45,24.81,27.35,90.9,9.29,12.2,76.77,-0.04,0.04,0.07,0.69,5.04,0.62,0.14,4.83,2.69,1.49,1.25,1.19,0.33,0.66,2.49,29.67,1.82,16.44,5.26,32.22,7.37,7.94,1.2,1.49,0.49,0.05,1.14,1.42,3.99,1.7,0.1,"A",2020
"48","H. Narvaez","Reugha","MF","Fighting Cougars",22,1996,13.93,0.05,1.17,0.42,37.51,1.15,0.42,0.1,0.23,28.08,-0.08,0.07,0.02,0.06,-0.03,0.11,0.04,0.03,37.55,44.4,84.33,730.97,140.47,15.96,18.2,87.71,14.92,17.07,87.81,6.07,7.92,75.69,0.06,-0.09,0.05,0.28,3.46,0.44,0.09,2.82,4.21,2.55,2.42,1.36,0.3,1.21,2.8,47.34,1.35,21.91,6.39,29.19,8.92,10.23,2.69,1.99,0.36,-0.06,1.64,1.05,5.25,1.52,-0.1,"A",2020
"49","B. Kakooza","Central Namemo Laand","MFDF","Fighting Cougars",31,1988,0.61,-0.07,-0.03,-0.03,NA,-0.05,0.07,NA,NA,NA,-0.03,0.08,0.05,0.01,-0.07,NA,-0.07,-0.02,34.21,50.06,68.51,611.41,249.92,17.2,22.96,74.99,12.89,17.1,75.06,4.33,8.48,49.98,0.07,0.22,-0.24,2.84,4.34,1.44,1.36,4.35,0.09,0.09,-0.02,0.07,0.08,-0.1,-0.08,NA,0.03,17.08,10.02,58.32,8.5,5.72,2.82,2.91,1.34,-0.03,1.35,0.1,0.05,-0.02,-0.06,"A",2020
"50","O. Kia","Western Niasland","MFDF","Fighting Cougars",20,1998,13.12,0.01,0.95,0.18,23.04,0.94,0.25,-0.02,-0.08,16.83,-0.1,-0.08,-0.06,0.11,-0.01,0.09,-0.02,-0.12,42.67,50.26,84.84,679.49,197.17,22.16,24.73,89.55,17.64,20.29,86.96,2.21,3.11,66.74,0.03,-0.01,-0.07,0.89,2.45,1.13,0.23,4.15,2.09,1.78,1.74,0.13,0.08,0.76,1.61,45.52,0.92,17.75,5.88,32.72,7.44,7.14,3.17,2.04,0.24,-0.05,1.77,0.71,2.93,0.98,-0.05,"A",2020
"51","H. Engel","Byasier Pujan","MFFW","Fighting Cougars",25,1993,1.08,-0.06,1.96,0.93,49.91,2.1,1.06,0.08,-0.01,9.7,-0.01,-0.09,-0.05,0.23,0.32,0.18,-0.27,-0.37,8.99,18.95,47.47,135.08,6.95,6.1,10.09,60.07,3,5.05,60.1,0.07,1.04,-0.08,-0.03,0.02,-0.1,0.04,-0.08,0.03,0.06,0,0.95,0.99,0.04,1.09,0.05,0.04,-0.09,NA,-0.06,12.03,5.99,49.92,-0.02,5.96,5.91,0.08,-0.06,-0.05,0.1,0.1,1,0.05,0,"A",2020
"52","N. Mousa","Cabral Retrea","MFFW","Fighting Cougars",26,1993,0.87,1.23,1.15,1.18,100.06,1.32,1.29,0.92,1.03,6.72,0.01,-0.01,0.03,0.23,0.2,0.23,1.03,1.15,9.97,14.98,66.77,96.26,24.93,7.59,9.94,74.94,2.47,3.68,66.77,-0.08,-0.02,NA,-0.06,-0.07,-0.06,1.16,0.04,0.05,0.03,-0.03,2.59,2.48,0.04,1.3,1.17,0.07,-0.03,NA,0.02,8.77,1.19,14.26,1.29,3.65,3.78,1.16,1.28,0.04,-0.01,0.04,2.42,1.18,0.09,"A",2020
"53","M. Kamanga","Central Republic of Boekrainego","MFFW","Fighting Cougars",28,1990,23.11,0.16,1.45,0.33,24.12,1.43,0.31,0.14,0.34,19.82,0.04,-0.04,-0.09,0.06,0.04,-0.02,0.02,0.01,35.61,46.26,76.72,616.94,178.4,18.98,21.18,89.43,11.8,14.04,83.6,4.11,8.68,48.58,0.1,0.19,-0.14,1.63,3.38,1.43,0.22,4.16,1.76,1.26,0.57,0.8,0.5,0.26,1.96,17.84,1.64,18.2,5.43,29.66,4.84,8.55,4.83,2.12,0.34,0.08,1.74,0.8,2.61,1.33,-0.02,"A",2020
"54","Q. Nabimanya","Imaar Vircoand","MFFW","Fighting Cougars",20,1998,3.99,-0.03,1.74,0.17,14.28,1.87,0.28,0,-0.03,22.28,0.16,0,0.07,0.01,0.08,0.09,-0.04,-0.13,21.41,33.26,64.55,379.27,92.54,9.82,12.37,79.22,9.39,12.32,77.15,1.97,7.96,25.89,0.08,-0.01,0.02,1.33,1.81,0.3,0.21,1.49,2.27,1.04,1.01,0.87,0.44,1,2.39,44.32,1.36,26.95,6.43,23.8,7.01,13.15,6.93,3.57,0.35,-0.08,3.41,0.43,2.77,0.19,0.03,"A",2020
"68","B. Mulyana","People's Land of Maneau","FWMF","Great Galactic Gorgons",34,1985,0.46,0.02,2.53,-0.07,0,2.57,-0.07,-0.07,NA,9.07,0.04,-0.08,0.04,0.75,0.76,0.35,-0.69,-0.75,12.41,17.42,71.36,182.5,17.51,10.03,12.53,79.9,2.41,5.05,49.91,0.07,-0.03,NA,0.04,0.09,0.08,0.04,-0.05,0,0.04,-0.04,-0.03,0.08,-0.03,-0.05,0,-0.05,-0.02,NA,0.06,42.53,12.58,29.35,4.96,17.47,19.93,-0.07,-0.02,0.02,-0.09,-0.07,0.03,5.08,0.02,"A",2020
"69","Q. Ayerango","Southslands","FWMF","Great Galactic Gorgons",24,1995,7.58,0.21,1.65,0.46,23.06,1.78,0.35,0.02,0.33,13.5,0.09,0.09,0.09,0.23,0.26,0.17,-0.16,-0.24,15.61,20.77,75.46,238.24,39.13,8.26,9.64,84.98,5.81,7.67,77.22,0.73,1.96,40.06,0.13,0.08,0.11,0.5,0.72,0.36,0.05,0.76,0.57,0.48,0.17,0.14,0.21,0.22,0.56,24.92,0.37,23.71,6.62,28.1,3.8,10.77,9.11,0.58,-0.09,-0.05,0.52,0.34,0.94,0.22,0.03,"A",2020
"72","D. Kojima","Highhlaands","MF","Great Galactic Gorgons",28,1991,34.3,0.06,0.51,0.09,31.39,0.43,0.17,0.02,-0.06,27.21,0.05,0.08,0.08,0.11,0.09,0.05,0.05,-0.05,48.49,62.65,77.56,1133.97,329.56,14,15.55,89.85,22.11,25.4,87.22,11.76,20.38,57.83,-0.04,0.2,-0.18,1.48,6.68,0.95,0.3,5.35,2.13,1.24,1.24,0.78,0.15,0.59,2.58,25.23,1.96,17.08,4.71,27.63,7.82,7.32,1.8,1.26,0.29,0.1,0.88,0.78,3.05,1.82,0.06,"A",2020
"73","A. Aryemo","Ngoque Blicri","MF","Great Galactic Gorgons",27,1991,28.09,0.15,1.14,0.43,37.5,1.12,0.39,0.14,0.43,19.26,-0.05,-0.02,-0.05,0.22,0.17,0.15,0.06,0.03,30.48,41.6,73.46,543.02,177.41,14.42,16.82,85.82,10.87,13.13,82.31,4.12,8.79,46.69,0,0.12,-0.08,1.35,3.35,1.05,0.26,3.35,1.45,0.92,0.56,0.49,0.31,0.7,2.65,24.37,2.07,19.79,5.26,26.56,5.48,10.4,4.05,1.5,0.14,0.07,1.55,0.63,1.97,0.88,0.01,"A",2020
"74","E. Yeong","People's Land of Maneau","MF","Great Galactic Gorgons",27,1992,4.13,0.09,0.74,0.09,0.02,0.77,-0.06,-0.09,NA,29.34,-0.08,-0.09,-0.03,-0.04,0.12,-0.03,0,0.07,26.74,36.66,73.29,385.95,117.96,18.28,21.45,85.15,5.2,7.17,72.4,2.4,4.56,52.69,0.1,0.02,0,0.79,2.01,1.03,0.7,1.91,1.24,1.05,0.17,0.81,0.15,0.47,2.25,22.21,1.75,23.48,5.79,24.91,7.89,10.08,5.6,2.19,0.08,-0.03,2.17,1.74,2.91,1.55,-0.01,"A",2020
"75","G. Gustafsson","People's Land of Maneau","MF","Great Galactic Gorgons",25,1994,27.34,0.08,1.65,0.38,25.01,1.61,0.39,0.07,0.39,16.83,0.08,0.09,-0.01,0.15,0.14,0.03,-0.09,0.06,35.33,43.98,80.39,674.74,140.86,16.7,19.21,86.91,12.62,15.04,84.31,5.19,7.7,67.43,0.11,0.07,0.09,0.75,2.89,1.06,0.22,3.08,1.84,1.12,0.91,0.58,0.34,0.74,2.56,27.92,1.8,22.1,6.26,28.46,6.39,11.16,4.73,1.01,0.16,-0.07,0.89,0.76,2.58,1.94,0,"A",2020
"76","R. Hamed","People's Land of Maneau","MF","Great Galactic Gorgons",28,1991,0.23,0.04,-0.02,-0.03,NA,-0.01,0.07,NA,NA,NA,0.04,0.06,0.08,-0.1,-0.04,NA,-0.07,0.05,9.93,9.98,100.02,200.1,20,5.07,4.98,99.91,4.97,4.94,100.01,-0.06,0.07,NA,-0.05,-0.09,0.02,0.09,0.07,0.03,-0.02,0.04,-0.01,0.06,-0.04,0.02,0.06,0.04,-0.05,NA,0.06,5.02,-0.06,0.06,5.02,-0.03,-0.08,-0.07,0,-0.06,0.05,-0.04,-0.1,5.08,-0.06,"A",2020
"77","H. Susanto","Redohrainbri","MF","Great Galactic Gorgons",21,1998,10.43,0.05,0.55,0.29,39.94,0.43,0.26,0.25,0.44,13.04,0.03,0.04,0.02,0,0.1,0.01,0.13,0.11,28.37,36.74,77.17,500.13,109.07,13.02,15.62,83.48,11.41,13.92,83,3.33,4.95,66.02,0.03,0.13,0.15,0.12,2.8,0.88,0.14,2.67,2.4,1.68,0.42,1.33,0.58,0.64,1.52,39.9,0.91,23.64,6.16,25.76,5.23,12.56,6.19,2.58,0.02,0.03,2.64,0.35,2.66,1.46,0.08,"A",2020
"78","G. Lukyamuzi","Thaijagypt","MF","Great Galactic Gorgons",26,1993,0.16,0,10.02,-0.06,-0.07,6.99,-0.09,0.03,NA,19.02,-0.06,0.01,0.09,0.07,0.04,0.04,0.02,-0.06,39.9,60.09,66.64,530.03,299.91,19.93,29.98,66.64,19.91,19.98,100.07,0.05,0.07,NA,-0.09,0.06,0.08,-0.05,20.07,0.04,-0.03,9.99,-0.03,-0.03,0.02,0,-0.07,-0.01,0.07,NA,0.03,29.94,10.04,33.25,0.07,9.97,19.9,0.06,-0.04,0.08,-0.06,0.04,-0.09,0.07,-0.09,"A",2020
"79","O. Mugide","Unicorporated Tiagascar","MF","Great Galactic Gorgons",26,1992,2.75,-0.09,1.47,0.75,49.96,1.37,0.65,0.05,0,21.42,-0.05,-0.07,-0.09,-0.06,0.06,-0.03,-0.02,-0.11,30.72,37.94,81.05,541.4,117.06,17.49,19.27,90.78,9.3,11.17,83.89,3.54,5.79,62.49,-0.07,0.09,-0.04,0.36,2.12,0.76,-0.09,3.23,3.28,2.13,2.09,1.12,0.08,0.8,2.15,33.26,1.46,25.46,6.12,23.97,10.37,11.81,3.15,1.44,-0.01,-0.08,1.51,0.68,4.03,1.75,-0.03,"A",2020
"80","F. Nakazibwe","People's Land of Maneau","MFDF","Great Galactic Gorgons",24,1994,6.52,0.03,0.49,0.23,33.31,0.46,0.18,-0.01,-0.1,12.24,-0.07,-0.07,0.08,0.06,0.12,0.12,-0.12,0.04,27.14,39.23,69.12,440.58,111.76,14.73,17.69,83.61,8.55,11.11,76.68,3.12,7.9,38.57,-0.04,0.15,-0.19,1.06,1.72,0.78,0.28,1.86,2.75,1.58,2.09,0.44,0.2,0.52,2.33,26.77,1.61,24.73,6.04,24.43,8.84,10.59,5.39,2.64,0.21,0.1,2.41,0.45,3.18,1.55,0.01,"A",2020
"92","K. Nalwanga","Rarita","DFMF","Green Fleet",20,1999,0.78,-0.03,1.37,0.07,0.01,1.34,-0.04,0.08,NA,6.96,0.09,-0.09,0,0.38,0.33,0.27,-0.29,-0.31,72.98,91.49,79.64,1267.15,354.27,34.33,38.62,88.93,29.98,35.65,83.91,7.07,14.38,50.07,-0.03,-0.01,0,0.09,1.38,-0.01,0.04,2.94,4.24,2.86,4.34,-0.03,0.06,2.96,5.69,49.9,2.87,11.49,5.7,50.07,4.21,2.96,4.27,1.41,0.07,-0.01,1.49,0.04,4.35,5.71,-0.07,"A",2020
"100","J. Rukundo","Dosqaly","MF","Green Fleet",26,1993,13.43,0.07,1.61,0.55,33.33,1.48,0.6,0.03,0.12,21.25,0.06,-0.04,0.01,0.2,0.19,0.15,0.02,0.06,65.72,76.67,85.9,1325.2,357.54,27.96,31.29,89.44,26.05,29.36,89.09,10.8,13.75,78.86,0.18,0.27,-0.03,1.96,8.88,2.07,0.01,8.14,1.85,1.15,0.9,0.75,0.28,0.55,1.32,44.42,0.77,12.3,4.42,35.21,4.53,5.29,2.37,1.43,0.49,0.07,0.99,0.38,2.13,1.06,0.15,"A",2020
"101","C. Ji","Greri Landmoslands","MF","Green Fleet",24,1994,13.28,0.53,3.02,1.09,34.95,3.02,1.05,0.19,0.29,24.1,0.51,0.29,0.27,0.53,0.18,0.15,0.13,0.1,46.08,64.57,71.25,886.13,244.94,21.61,25.76,84.15,16.63,21.52,77.57,7.26,14.58,50.54,0.62,0.13,0.4,2.56,5.53,1.8,0.21,6.08,1.41,1.08,0.5,0.57,0.3,0.4,2.56,14.62,2.17,19.72,4.85,25.08,4.43,9.4,5.93,1.15,-0.03,0.07,1.09,0.54,1.95,0.96,-0.09,"A",2020
"102","Q. Nabutono","Lefghau","MF","Green Fleet",26,1993,23.95,-0.09,1.62,0.44,24.95,1.59,0.49,0.05,-0.05,22.86,0.06,-0.02,-0.08,0.05,0.16,0.02,-0.09,0.01,60.9,71.45,85.43,1226.41,302.81,23.27,25.73,90.67,26.22,28.65,91.25,10.56,14.6,71.64,0.05,0.07,-0.18,1.51,6.4,0.68,0.15,5.41,3.2,2.15,1.74,1.39,0.31,1.26,4.13,29.65,2.86,29.42,8.13,27.44,12.07,13.69,3.83,2.75,0.26,-0.01,2.26,1.09,4.44,1.13,-0.07,"A",2020
"103","P. Bauri","Ngoque Blicri","MF","Green Fleet",22,1996,19.72,0.14,1.59,0.51,33.25,1.48,0.48,0.08,0.37,19.78,0.04,0.03,0.08,0.16,0.08,0.12,0.21,0.05,41.42,50.57,81.93,842.64,207.31,15.85,18.87,83.8,17.8,20.61,86.75,7.35,9.67,74.98,-0.04,0.13,0.1,0.62,4.44,0.6,0.01,4.21,2.45,1.62,1.1,1.25,0.12,0.78,1.84,44.63,0.99,13.27,4.29,32.18,4.75,7.03,1.5,1.91,0.3,0.05,1.77,1.19,3.72,2.54,-0.04,"A",2020
"104","H. Kamugisha","People's Land of Maneau","MF","Green Fleet",18,2001,0.17,-0.05,0.03,0.04,NA,0.09,0.03,NA,NA,NA,0.04,-0.1,0.01,-0.09,0.1,NA,0.02,0.04,149.91,150.02,100.09,2530.03,439.99,90.05,89.96,99.96,49.97,49.93,100.03,10.03,10.01,100.07,0.06,-0.1,0.09,0.07,9.9,-0.02,0.02,10.02,-0.06,-0.01,0.04,0.01,-0.01,-0.08,10.09,0.02,9.98,19.98,-0.09,-0.09,0.08,19.92,-0.08,0.1,-0.08,0,0.05,0.09,-0.03,10.06,-0.01,"A",2020
"105","U. García","People's Land of Maneau","MF","Green Fleet",18,2000,0.18,0.03,0.01,-0.1,NA,-0.07,0.1,NA,NA,NA,0.09,-0.05,-0.06,0.05,-0.06,NA,-0.03,0.02,55.07,65.07,84.55,1175.02,414.98,15.07,19.91,75.01,20.09,24.92,80.08,15.09,15.07,99.92,-0.07,0.42,-0.57,9.94,4.94,9.99,-0.04,14.98,-0.09,-0.05,0.01,0.03,0.09,0.09,0.09,NA,-0.06,54.93,5.02,9.07,30.07,19.97,5.06,4.96,-0.02,0.02,4.97,-0.06,-0.05,0,0,"A",2020
