"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"38","G. Köhler","People's Land of Maneau","DFFW","Fighting Cougars",25,1994,12.67,0.01,1.75,0.55,38.07,1.66,0.64,0.05,-0.02,18.55,0.09,0.01,0.02,0.04,0.21,0.14,-0.15,-0.2,12.72,34.34,47.29,72.47,637.5,183.63,15.72,18.27,86.16,14.33,18.24,78.01,4.09,8.57,46.79,0.06,0.09,0,12.78,2.09,1.43,1.2,0.67,0.2,0.76,1.66,42.88,1.01,12.4,3.48,27.83,4.27,4.58,3.65,1.69,0.14,0,1.49,0.86,2.97,1.48,0.17,"A",2020
"39","L. Wafula","Dosqaly","FW","Fighting Cougars",22,1996,30.73,0.37,3.03,1.02,37.88,2.9,1.14,0.05,0.3,14.86,0.01,-0.05,0.08,0.41,0.35,0.04,-0.13,-0.14,30.71,17.7,22.45,78.41,275.64,47.5,9.52,11.41,82.27,5.9,6.82,84.42,1.37,1.98,71.24,0.15,0.18,0.06,30.76,0.87,0.53,0.21,0.47,0.21,0.17,1.18,22.23,0.89,22.99,6.07,26.23,2.24,9.16,11.5,1.04,0.05,0,0.86,0.15,1,0.26,0.04,"A",2020
"40","K. Turyahabwe","People's Land of Maneau","FW","Fighting Cougars",35,1983,8.97,0.12,1.84,0.45,23.41,1.95,0.44,-0.01,0.17,13.74,-0.08,0.09,-0.03,0.22,0.31,0.12,-0.15,-0.03,8.81,12.91,19.87,65.48,185.61,34.19,7.65,9.68,79.21,3.68,6.48,57.91,1.02,1.89,52.84,0.1,-0.02,0.08,8.81,0.43,0.32,0.06,0.44,-0.09,0.02,0.59,-0.04,0.74,16.26,3.89,24.28,1.1,8.28,6.8,0.74,0.12,-0.1,0.64,-0.01,0.43,1.07,0.04,"A",2020
"41","R. binti Hassan","Southslands","FW","Fighting Cougars",19,2000,14.1,0.2,2.71,0.98,34.12,2.67,0.88,0.02,0.29,15.94,0.01,-0.04,-0.07,0.14,0.28,0.06,-0.08,-0.05,13.93,9.07,11.66,77.32,124.25,17.25,5.49,6.62,82.55,2.23,2.8,79.6,0.55,0.86,63.61,0.02,-0.03,-0.03,13.93,0.81,0.5,0.16,0.34,0.49,0.21,0.8,25.05,0.69,16.68,4.91,29.57,0.96,6.67,9.04,0.63,0.14,-0.05,0.48,0.39,1.25,0.06,0.04,"A",2020
"42","P. Chew","Esia","FWMF","Fighting Cougars",28,1991,19.94,0.01,1.41,0.47,30.96,1.4,0.47,0.09,0.28,22.15,0.3,0.04,-0.06,0.15,0.13,-0.01,0.09,0.09,20.06,38.14,51.32,74.18,743.34,230.8,16.9,19.12,87.84,14.5,17.17,84.08,6.23,12.72,49.36,0.19,0.26,-0.01,19.91,1.75,0.97,0.35,1.03,0.45,0.43,1.57,25.01,1.19,19.83,5.12,26.12,4,9.71,5.98,1.26,0.02,-0.07,1.3,0.44,2.05,0.52,0.08,"A",2020
"43","M. Hsieh","Lonnia Haba","FWMF","Fighting Cougars",25,1993,3.47,0.49,3.2,0.61,18.17,3.2,0.54,0.08,1.05,19.47,-0.01,0.09,-0.05,0.06,0.13,-0.02,0.52,0.37,3.5,23.94,40.04,59.9,334.32,107.69,15.37,18.54,83.02,6.29,13.01,47.82,1.73,5.62,29.95,0.04,0.02,-0.03,3.46,1.96,0.84,0.63,0.54,0.91,0.82,1.62,50.07,0.83,14.69,5.8,39.24,4.33,4.58,5.75,1.38,0.03,0.08,1.52,0.09,1.97,1.2,0,"A",2020
"44","F. Cho","Southern Ristan","FWMF","Fighting Cougars",24,1994,22.2,0.22,1.85,0.66,30.94,1.9,0.57,0.08,0.31,15.99,0.09,-0.05,-0.02,0.15,0.18,0.06,0.09,-0.08,22.23,25.49,35.61,71.2,492.09,160.31,10.92,13.95,78.19,10.51,13.8,76.7,3.75,6.09,59.44,0.13,0.13,-0.09,22.34,1.19,0.72,0.66,0.46,0.13,0.46,1.76,23.07,1.37,16.67,4.48,26.76,3.3,7.62,5.97,1.28,0.1,-0.08,1.29,0.49,1.73,0.14,-0.09,"A",2020
"51","H. Engel","Byasier Pujan","MFFW","Fighting Cougars",25,1993,1.08,-0.06,1.96,0.93,49.91,2.1,1.06,0.08,-0.01,9.7,-0.01,-0.09,-0.05,0.23,0.32,0.18,-0.27,-0.37,0.94,8.99,18.95,47.47,135.08,6.95,6.1,10.09,60.07,3,5.05,60.1,0.07,1.04,-0.08,-0.03,0.02,-0.1,0.94,0.95,0.99,0.04,1.09,0.05,0.04,-0.09,NA,-0.06,12.03,5.99,49.92,-0.02,5.96,5.91,0.08,-0.06,-0.05,0.1,0.1,1,0.05,0,"A",2020
"52","N. Mousa","Cabral Retrea","MFFW","Fighting Cougars",26,1993,0.87,1.23,1.15,1.18,100.06,1.32,1.29,0.92,1.03,6.72,0.01,-0.01,0.03,0.23,0.2,0.23,1.03,1.15,0.7,9.97,14.98,66.77,96.26,24.93,7.59,9.94,74.94,2.47,3.68,66.77,-0.08,-0.02,NA,-0.06,-0.07,-0.06,0.88,2.59,2.48,0.04,1.3,1.17,0.07,-0.03,NA,0.02,8.77,1.19,14.26,1.29,3.65,3.78,1.16,1.28,0.04,-0.01,0.04,2.42,1.18,0.09,"A",2020
"53","M. Kamanga","Central Republic of Boekrainego","MFFW","Fighting Cougars",28,1990,23.11,0.16,1.45,0.33,24.12,1.43,0.31,0.14,0.34,19.82,0.04,-0.04,-0.09,0.06,0.04,-0.02,0.02,0.01,23.1,35.61,46.26,76.72,616.94,178.4,18.98,21.18,89.43,11.8,14.04,83.6,4.11,8.68,48.58,0.1,0.19,-0.14,23.11,1.76,1.26,0.57,0.8,0.5,0.26,1.96,17.84,1.64,18.2,5.43,29.66,4.84,8.55,4.83,2.12,0.34,0.08,1.74,0.8,2.61,1.33,-0.02,"A",2020
"54","Q. Nabimanya","Imaar Vircoand","MFFW","Fighting Cougars",20,1998,3.99,-0.03,1.74,0.17,14.28,1.87,0.28,0,-0.03,22.28,0.16,0,0.07,0.01,0.08,0.09,-0.04,-0.13,3.84,21.41,33.26,64.55,379.27,92.54,9.82,12.37,79.22,9.39,12.32,77.15,1.97,7.96,25.89,0.08,-0.01,0.02,3.82,2.27,1.04,1.01,0.87,0.44,1,2.39,44.32,1.36,26.95,6.43,23.8,7.01,13.15,6.93,3.57,0.35,-0.08,3.41,0.43,2.77,0.19,0.03,"A",2020
"62","S. Pérez","Byasier Pujan","FW","Great Galactic Gorgons",22,1996,1.26,0.01,0.87,-0.07,0.06,0.89,0.04,0.01,NA,13.82,-0.1,-0.03,0.01,0.09,-0.01,-0.03,0.06,-0.07,1.28,13.22,14.92,88.95,201.72,20.77,7.47,8.37,89.93,4.22,5.05,83.39,0.92,0.82,100.02,0.09,0.09,-0.2,1.1,1.75,1.73,0.09,1.72,-0.01,0,0.74,0.04,0.74,32.41,10.81,33.22,1.7,14.23,16.77,0.79,0.07,-0.05,0.78,-0.08,1.59,0,-0.1,"A",2020
"63","J. Krajnc","Djipines","FW","Great Galactic Gorgons",27,1992,0.01,0.1,0,0.02,NA,-0.08,0.01,NA,NA,NA,0.07,-0.02,-0.07,0.05,-0.02,NA,-0.09,-0.06,0.13,19.99,20.04,99.94,279.99,60.1,9.96,9.94,100.02,10.04,10.02,99.99,0.07,-0.03,NA,-0.09,0.05,-0.09,0.17,0.03,0.04,-0.06,-0.02,0.08,-0.05,0.09,NA,0.03,20,-0.02,0.02,-0.06,9.93,10.04,-0.04,0.03,0.07,0.05,0.02,-0.01,0.05,-0.08,"A",2020
"64","G. Elbaz","Dosqaly","FW","Great Galactic Gorgons",23,1996,13.89,0.45,2.53,0.69,25.75,2.62,0.65,0.24,0.61,15.84,0.09,0.01,0.05,0.39,0.41,0.13,0.01,0.06,13.8,12.9,17.3,73.62,170.32,28.38,8.72,10.3,83.87,3.46,4.75,71.2,0.45,0.72,45.4,0.29,0.16,0.12,13.75,0.74,0.25,0.07,0.26,0.3,0.17,0.44,28.62,0.45,21.38,5.96,28.05,0.89,8.73,11.9,0.75,0.19,-0.01,0.51,0.33,1.09,0.15,0.04,"A",2020
"65","Y. Susanti","Ngoque Blicri","FW","Great Galactic Gorgons",23,1996,23.44,0.18,2.02,1.11,49.04,2.08,0.94,0.21,0.21,9.2,0.05,0.06,-0.08,0.37,0.4,0.15,0.02,-0.03,23.44,17.35,26.87,64.55,251.1,66.51,10.49,14.54,71.22,5.09,8.43,61.77,1.03,1.61,63.23,0.05,0.09,-0.11,23.57,1.52,0.8,0.31,0.94,0.22,0.37,1.7,17.82,1.36,26.27,6.39,24.16,2.37,12.41,11.22,1.33,0.03,-0.05,1.23,0.29,1.7,1.92,0.02,"A",2020
"66","A. Schmitt","People's Land of Maneau","FW","Great Galactic Gorgons",33,1986,11.8,0.29,1.28,0.45,35.72,1.28,0.33,0.2,0.63,9.53,0.06,-0.03,0.08,0.28,0.17,0.09,-0.03,0.02,11.63,13.88,18.93,72.95,204.03,41.38,8.05,9.77,80.98,4.91,6.33,78.39,0.48,1.15,46.12,0.18,0.15,-0.04,11.73,0.83,0.39,0.28,0.19,0.35,0.14,0.41,25.1,0.19,18.53,4.75,25.23,1.41,7.79,9.36,0.42,0.02,0.09,0.32,0.01,0.76,0.13,-0.05,"A",2020
"67","H. Gomani","Southslands","FW","Great Galactic Gorgons",31,1987,20.29,0.09,2.29,1,41.26,2.28,0.87,0.04,0.06,14.26,0,-0.04,0.04,0.41,0.26,0.19,-0.18,-0.17,20.15,23.45,30.87,76.19,391.14,63.93,12.11,14.63,83.09,9.1,11.59,78.64,1.82,3.15,59.41,0.04,0.06,0.02,20.11,2.05,1.31,0.53,1.12,0.4,0.22,0.86,29.36,0.63,22.65,5.77,25.71,2.39,11.7,8.45,0.92,0.17,-0.01,0.9,0.07,2.23,1.16,0.09,"A",2020
"68","B. Mulyana","People's Land of Maneau","FWMF","Great Galactic Gorgons",34,1985,0.46,0.02,2.53,-0.07,0,2.57,-0.07,-0.07,NA,9.07,0.04,-0.08,0.04,0.75,0.76,0.35,-0.69,-0.75,0.43,12.41,17.42,71.36,182.5,17.51,10.03,12.53,79.9,2.41,5.05,49.91,0.07,-0.03,NA,0.04,0.09,0.08,0.41,-0.03,0.08,-0.03,-0.05,0,-0.05,-0.02,NA,0.06,42.53,12.58,29.35,4.96,17.47,19.93,-0.07,-0.02,0.02,-0.09,-0.07,0.03,5.08,0.02,"A",2020
"69","Q. Ayerango","Southslands","FWMF","Great Galactic Gorgons",24,1995,7.58,0.21,1.65,0.46,23.06,1.78,0.35,0.02,0.33,13.5,0.09,0.09,0.09,0.23,0.26,0.17,-0.16,-0.24,7.58,15.61,20.77,75.46,238.24,39.13,8.26,9.64,84.98,5.81,7.67,77.22,0.73,1.96,40.06,0.13,0.08,0.11,7.55,0.57,0.48,0.17,0.14,0.21,0.22,0.56,24.92,0.37,23.71,6.62,28.1,3.8,10.77,9.11,0.58,-0.09,-0.05,0.52,0.34,0.94,0.22,0.03,"A",2020
"93","I. Koomson","Djipines","FW","Green Fleet",21,1997,25.5,0.03,1.59,0.83,45.14,1.61,0.79,0.04,0.18,16.76,0.05,-0.08,0.08,0.05,0.07,0.15,0.07,0.02,25.36,23.05,31.63,73.07,354.74,84.38,13.53,15.93,84.09,7.32,9.51,76.1,1.54,3,52.51,0.19,0.12,0.01,25.39,1.01,0.57,0.27,0.37,0.35,0.28,1.8,13.29,1.44,22.41,5.68,25.08,4.97,10.23,7.09,1.39,0.16,0.1,1.32,0.2,1.24,0.44,0,"A",2020
"94","L. Obote","Dosqaly","FW","Green Fleet",23,1995,29.29,0.53,2.67,1.23,48.03,2.74,1.27,0.24,0.39,16.05,-0.06,0.06,0.08,0.47,0.39,0.16,0.26,0.29,29.27,19.78,24.8,79.89,274.43,58.72,12.27,14.16,86.65,5.75,6.98,81.64,0.72,0.96,70.91,0.25,0.07,-0.02,29.29,0.56,0.34,0.1,0.18,0.28,-0.02,0.54,7.74,0.35,12.9,3.6,28.55,0.83,4.42,7.75,0.71,-0.03,-0.07,0.71,0.2,0.69,0.51,0.06,"A",2020
"95","T. Ichikawa","People's Land of Maneau","FW","Green Fleet",21,1997,29.4,0.67,2.78,1.27,45.19,2.9,1.31,0.08,0.24,19.58,0.64,0.23,0.26,0.62,0.39,0.14,-0.03,-0.08,29.37,25.79,33.58,76.78,422.66,114.96,14.21,17.05,83.95,8.66,10.72,80.21,2.13,3.58,57.39,0.28,0.2,0.04,29.39,0.47,0.19,0.07,0.32,0.18,0.24,0.88,24.94,0.72,12.93,3.51,27.09,1.11,6,5.82,0.97,0.1,-0.04,0.9,0.19,0.71,0.69,0,"A",2020
"96","Z. Nabaweesi","People's Land of Maneau","FW","Green Fleet",17,2001,14.63,0.72,2.54,1.26,52.62,2.51,1.46,0.26,0.45,16.43,-0.07,-0.01,-0.03,0.25,0.28,0.02,0.47,0.38,14.67,28.23,33.15,85.2,435.69,78.94,15.76,17.89,88.59,9.83,10.8,89.95,1.91,2.85,65.83,0.11,0.07,-0.04,14.69,1.36,0.94,0.5,0.46,0.47,0.57,1.43,33.3,0.91,12.84,4.23,32.04,3.47,5.1,4.47,1.06,-0.02,-0.08,1.03,0.58,1.83,0.33,-0.06,"A",2020
"97","N. Gheorghe","Republic of Denand Landsa","FW","Green Fleet",30,1989,1.02,-0.01,6.43,2.77,42.81,6.31,2.57,0.01,0.08,11.23,0.09,0.07,-0.03,1.4,1.45,0.22,-1.34,-1.39,1.08,19.17,20.94,91.33,253.66,20.07,13.54,15.41,88.15,3.56,3.56,99.94,1.85,1.89,99.92,-0.08,0.07,-0.19,1.01,1.79,1.8,-0.06,1.81,-0.01,0.98,1.78,49.97,0.82,20.85,4.59,21.76,3.74,5.4,11.83,1.76,1.01,0.07,0.94,0.09,1.84,-0.01,0.1,"A",2020
"98","Q. Scott","Byasier Pujan","FWDF","Green Fleet",19,1999,0.47,-0.05,2.55,0.07,-0.07,2.45,-0.04,-0.02,NA,12.85,0.09,0.07,0.06,0.25,0.25,0.05,-0.34,-0.27,0.44,22.46,34.97,64.2,340.03,89.98,9.92,15.06,66.78,12.59,12.5,99.96,0.01,2.56,0,0.1,-0.04,-0.02,0.32,-0.01,-0.07,-0.03,0.02,-0.02,-0.04,-0.08,NA,0.09,37.57,10.1,26.6,9.96,7.59,20,0.09,0.04,0.1,-0.03,2.55,2.43,-0.02,-0.09,"A",2020
"107","S. Avraham","Nganion","MFFW","Green Fleet",31,1988,8.41,-0.05,1.01,0.06,11.03,1.04,0.06,-0.04,-0.05,17.83,0.2,0.03,-0.08,0.19,0.07,0.11,-0.06,-0.12,8.36,52.5,62.23,84.54,834.64,193.48,30.74,32.28,95.14,16.34,19.32,84.05,4.89,7.82,63.05,0.23,0.22,-0.03,8.42,0.98,0.79,0.18,0.38,0.28,0.24,1.54,15.46,1.35,14.04,4.24,29.76,2.06,6.6,5.42,0.84,0.15,0.06,0.81,0.2,1.06,0.04,-0.05,"A",2020
"108","E. Taylor","People's Land of Maneau","MFFW","Green Fleet",26,1992,10.35,0.16,2.16,0.67,27.39,2.1,0.68,-0.05,0.18,17.84,-0.09,-0.06,-0.04,0.33,0.3,0.21,-0.25,-0.07,10.43,33.82,39.37,85.74,495.77,95.71,18.85,21.06,89.08,11.71,13.21,88.39,1.75,2.63,70.48,0.03,0.11,-0.07,10.38,1.32,0.94,0.56,0.12,0.56,0.46,1.53,26.7,1.06,32.3,7.67,23.77,5.97,16.59,9.78,0.91,0.05,0.03,0.72,0.62,1.75,0.04,0.01,"A",2020
"109","Y. Torres","Rarita","MFFW","Green Fleet",23,1996,16.6,-0.03,2.25,0.81,37.83,2.18,0.77,0.11,0.12,22.33,0.17,-0.02,-0.03,0.21,0.05,0.03,-0.13,-0.05,16.5,34.31,46.73,73.57,598.45,167.45,16.8,19.53,86.29,12.62,16.47,77.49,3.92,8.56,46.87,0.15,0.24,-0.04,16.5,1.34,0.78,0.23,0.65,0.43,0.65,2.51,23.81,1.9,25.98,6.99,26.53,4.77,14.21,6.95,1.43,0.07,-0.02,1.43,0.58,1.95,0.27,-0.08,"A",2020
"119","S. Mlakar","Dosqaly","FW","Horrible Grizzlies",32,1986,11.05,0.66,3.65,1.81,48.64,3.62,1.66,0.29,0.5,10.97,0.02,-0.05,0.07,0.7,0.57,0.25,0.16,0.03,10.91,18.83,27.81,67.51,228.83,26.74,13.22,18.11,72.93,3.86,6.01,64.24,0.47,0.91,54.52,0.04,0.1,-0.09,10.97,0.36,0.32,0.08,0.35,0.04,-0.02,0.96,-0.08,0.84,18.36,5.37,28.61,0.98,8.96,8.49,1.78,0.61,0.04,1.22,0.15,0.55,1.2,0.05,"A",2020
"120","U. Chio","Lefghau","FW","Horrible Grizzlies",30,1988,28.95,0.35,2.28,0.89,38.77,2.33,0.87,0,0.26,19.58,0.2,0.23,0.23,0.26,0.06,-0.02,-0.03,0.08,28.96,43.15,55.39,77.95,777.07,178.67,22.03,25.42,86.84,14.12,17.29,82.75,5.86,10.2,57.6,0.22,0.14,-0.09,28.97,1.47,0.99,0.42,0.83,0.33,0.37,1.76,21.58,1.38,18.29,5.13,28.66,3.37,8.91,5.71,0.85,-0.04,0.08,0.69,0.55,2.05,0.33,0.08,"A",2020
"121","M. Abur","Moaithe","FW","Horrible Grizzlies",17,2001,0.1,0.03,-0.07,0.05,NA,0,-0.04,NA,NA,NA,0.05,-0.03,0.08,-0.03,0,NA,-0.05,-0.07,0.16,19.91,20.05,100.04,130,0.05,10.05,10.08,99.96,-0.05,-0.09,NA,-0.03,0.01,NA,-0.04,0.08,0.08,0.17,0.1,-0.06,0.04,-0.1,0,-0.08,0,NA,0.08,29.91,0.03,0.03,-0.03,19.91,9.97,0.07,0.01,-0.02,0.06,-0.01,-0.03,0.01,-0.07,"A",2020
"122","F. Pellegrini","Nganion","FW","Horrible Grizzlies",32,1987,7.27,0.05,3.24,1.26,39.07,3.05,1.15,0.08,0.1,15.71,-0.1,0,0.04,0.46,0.47,0.16,-0.19,-0.31,7.22,35.54,45.27,78.2,583.75,132.94,19.69,22.56,87.23,12.06,15.25,79.33,2.78,5.16,56.75,0.08,0.09,0.04,7.31,2.38,1.29,1,0.88,0.32,0.36,2.5,16.74,1.97,20.88,6.66,32.3,4.56,10.11,5.94,0.95,-0.04,0.06,0.95,0.55,2.91,0.12,0,"A",2020
"123","G. Adriko","People's Land of Maneau","FW","Horrible Grizzlies",17,2001,0.23,-0.08,4.92,-0.04,0.04,4.44,-0.07,-0.08,NA,31.38,-0.07,0.02,-0.05,-0.06,-0.08,-0.07,0.07,-0.08,0.1,35.08,35.04,100.09,605.01,70.04,14.94,15.01,99.97,20.09,19.91,100.09,0.02,-0.06,NA,0.08,-0.04,0.07,0.3,4.95,-0.02,5.04,-0.07,0.09,0.04,0.1,NA,0.09,9.93,5.01,49.95,-0.1,9.93,0.05,4.91,0.05,-0.07,4.95,-0.09,5.09,0.01,0.01,"A",2020
"124","N. Nantege","People's Land of Maneau","FW","Horrible Grizzlies",18,2000,9.59,0.13,2.24,0.39,18.11,2.24,0.34,0.11,0.15,17.4,0.08,-0.04,-0.06,0.23,0.09,0.17,-0.15,-0.12,9.56,39.92,49.65,80.68,750.72,155.34,19.66,22.44,87.95,13.26,15.62,85.26,6.18,9.23,68.21,0.48,0.23,0.16,9.57,0.83,0.45,0.46,0.16,0.17,0.11,1.18,9.02,1.06,12.55,3.04,24.07,2.38,6.17,4.17,1.89,0.05,-0.01,1.95,-0.02,0.88,0.68,-0.09,"A",2020
