"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","Playing.Time.MP","Playing.Time.Starts","Playing.Time.Min","Playing.Time.90s","Performance.GA","Performance.GA90","Performance.SoTA","Performance.Saves","Performance.Save.","W","D","L","Performance.CS","Performance.CS.","Performance.PKatt","Penalty.Kicks.PKA","Penalty.Kicks.PKsv","Penalty.Kicks.PKm","Penalty.Kicks.Save.","League","Year"
"154","J. Turyasingura","Nganion","GK","Horrible Storm",36,1982,12.03,-0.02,0.08,0.02,NA,-0.01,-0.04,NA,NA,NA,0.08,-0.04,0.04,0.1,-0.01,NA,0.06,-0.02,12.06,22.69,32.97,68.99,842.21,572.87,1.99,1.9,99.97,8.06,8.1,98.95,12.27,22.34,54.97,0.01,0.05,-0.1,11.92,0.05,-0.08,0.04,0.06,0.01,-0.05,0,0.02,0.07,0.26,0.09,25.02,0.38,-0.01,-0.06,-0.07,0.01,0.06,0.01,0.01,0.04,0.04,0.24,11.98,12.01,1080.06,12.06,1.66,1.65,4.08,2.69,63.92,0.35,0.31,0.48,0.13,16.71,0.21,0.14,0.06,0.04,33.21,"A",2020
"155","K. Lin","People's Land of Maneau","GK","Horrible Storm",26,1992,0.05,-0.08,-0.09,0,NA,0.03,-0.03,NA,NA,NA,-0.08,0.05,0,0.04,-0.02,NA,0.01,-0.08,0.14,9.99,20.06,50.05,259.99,90.05,-0.09,-0.1,NA,10.03,9.99,100.07,-0.02,10.08,-0.04,-0.01,-0.05,-0.09,0.06,0.04,-0.08,0.08,0.02,0.06,0.06,-0.03,NA,-0.04,-0.06,0.07,NA,-0.04,-0.1,-0.07,0.04,-0.03,-0.05,-0.1,-0.03,0.05,-0.05,-0.01,0.95,0.91,7.09,0.04,-0.01,-0.01,0.09,0.1,NA,0.09,0.07,10.04,0,0.03,-0.08,-0.02,-0.08,0.03,NA,"A",2020
"156","S. Herrera","People's Land of Maneau","GK","Horrible Storm",33,1986,19.91,-0.02,0.05,-0.02,NA,0,0.02,NA,NA,NA,-0.08,0.06,0.05,0.04,-0.05,NA,0.08,0.08,19.89,17.64,30.89,57.09,645.75,475.92,2.17,2.03,99.98,7.59,7.67,98.63,7.77,20.99,37.22,0.04,-0.08,-0.08,19.88,-0.09,-0.08,0.09,0.07,-0.1,-0.01,0.19,0.03,0.04,0.17,0.09,-0.03,0.12,0.04,-0.03,-0.08,0.01,0.01,0.01,-0.08,-0.02,-0.04,-0.07,19.93,19.94,1793.95,19.95,1.83,1.77,4.88,3.44,67.74,0.27,0.2,0.56,0.18,20.08,0.21,0.2,0.08,0.02,0.1,"A",2020
"157","M. Alzahrani","Redohrainbri","GK","Horrible Storm",28,1990,6.07,-0.02,0.01,-0.07,NA,0.04,0.01,NA,NA,NA,-0.09,0.05,-0.09,0.08,0.07,NA,-0.05,0.04,5.97,17.52,30.35,57.66,646.78,466.59,1.38,1.59,88.89,7.89,7.93,97.88,8.4,20.77,40.08,-0.06,0.01,-0.05,5.96,-0.05,0.01,-0.01,0.02,0.05,-0.03,0.07,NA,0.03,0.08,0.03,NA,0,-0.01,0.04,-0.06,-0.07,-0.08,-0.08,-0.05,-0.06,0.23,0.12,7.02,4.92,538.97,6.07,1.92,1.96,4.27,2.28,53.87,-0.03,0.27,0.5,0.13,20.02,0.09,-0.03,-0.07,0.06,NA,"A",2020
"185","V. Kumwenda","Esia","GK","Mighty Jays",27,1992,29.38,0.05,-0.01,0.1,NA,0.01,-0.01,NA,NA,NA,-0.05,0,-0.02,0.1,-0.03,NA,0.05,-0.08,29.41,25.12,33.75,74.93,622.35,333.37,5.81,5.79,99.46,13.28,13.49,98.47,5.86,14.03,42.08,-0.06,0.09,-0.08,29.34,0.09,-0.05,0.04,-0.01,-0.01,0.1,0.19,0.06,0.08,0.01,0.05,0.05,0.06,0.05,-0.04,0.01,0.08,0.01,0.08,-0.08,-0.04,0.08,-0.06,31.06,31,2790.08,30.95,1.68,1.72,4.56,3.07,65.66,0.43,0.17,0.36,0.11,16.13,0.28,0.33,0.12,-0.04,12.43,"A",2020
"186","S. Tamale","Imaar Vircoand","GK","Mighty Jays",26,1992,8.68,-0.04,-0.1,-0.02,NA,-0.01,-0.06,NA,NA,NA,-0.05,-0.09,-0.02,0.05,0.07,NA,0.03,0.06,8.66,24.78,34.19,72.38,670.38,367.65,5.06,5.07,99.94,12.46,12.8,97.28,6.57,15.7,42.49,-0.08,-0.04,-0.07,8.63,0.05,0.02,-0.08,-0.02,-0.1,0.02,0.04,NA,0.03,0.08,0.04,-0.08,0.11,0.04,0.02,0.06,0.05,0.05,0.09,0.05,0.03,0.01,0.24,29.99,29.97,2648.93,29.38,1.34,1.36,5.05,3.77,77.64,0.31,0.47,0.25,0.17,23.37,0.33,0.1,0.02,0.04,14.23,"A",2020
"209","A. Soong","People's Land of Maneau","GK","Odd Ducks",21,1998,37.04,-0.1,0.02,0.02,NA,-0.08,-0.08,NA,NA,NA,0,-0.08,-0.03,0.01,-0.05,NA,-0.02,0.01,36.92,17.58,30.37,57.76,590.41,401.37,3.06,3.21,99.14,7.31,7.4,98.48,7.17,19.83,35.96,0.1,-0.06,-0.02,37.02,-0.07,0.01,0.08,-0.08,-0.03,-0.06,0.12,0.03,0.11,0.25,0.05,12.4,0.28,0.04,-0.03,0.06,-0.01,0.08,0.04,0.05,0.06,0,0.05,9.07,8.1,771.09,8.54,1.11,1.07,4.88,3.93,81,0.67,0.12,0.19,0.29,37.59,0.2,0.16,-0.07,-0.04,0.06,"A",2020
"210","F. Malik","Southslands","GK","Odd Ducks",20,1999,1.05,-0.03,-0.09,-0.01,NA,0.05,-0.05,NA,NA,NA,-0.02,0.06,0.08,0.03,0.06,NA,0.09,-0.04,0.93,23.07,32.06,71.81,691.94,478.98,6.07,6.07,99.93,7.92,8.9,88.81,9.04,16.99,52.86,0.04,0,-0.06,0.95,0.01,0.05,0.09,-0.01,0,-0.09,-0.03,NA,0.06,0.03,-0.06,NA,-0.02,0.09,-0.05,-0.03,0.01,-0.02,0,-0.04,0,-0.08,1.03,37.07,37.08,3330.07,37.02,1.76,1.75,4.87,3.19,67.77,0.31,0.22,0.56,0.17,13.48,0.14,0.09,0.13,-0.05,16.61,"A",2020
"235","U. Nakazibwe","Lefghau","GK","Old Mustangs",26,1992,28.33,-0.02,0.06,-0.03,NA,0.08,0.1,NA,NA,NA,0.04,0.01,-0.05,0.04,-0.06,NA,-0.04,0.06,28.33,28.08,32.67,85.87,787.13,434.79,5.36,5.24,100,12.33,12.61,98.93,10.21,14.72,69.52,0.09,0.08,-0.02,28.26,0.03,-0.02,-0.04,0.07,-0.02,-0.08,0.07,-0.03,0.07,0.23,0.11,20.04,0.16,0.03,0.03,0.04,-0.08,-0.07,0.04,0.03,0.08,0.05,0,0.97,1.08,90.09,1.02,2.98,3,4.98,1.98,40.07,0.06,-0.1,1.03,0.06,-0.06,-0.08,-0.07,0.02,-0.08,NA,"A",2020
"236","F. Walker","Nganion","GK","Old Mustangs",32,1987,9.61,-0.06,0.1,-0.03,NA,-0.04,-0.07,NA,NA,NA,-0.09,0.01,-0.05,0.01,-0.05,NA,0.02,0.03,9.69,23.48,32.34,72.32,702.92,393.27,3.14,3.03,99.92,10.66,10.83,98.1,9.48,17.81,52.23,0.08,-0.03,0.07,9.75,0,0.01,0.03,-0.06,0.01,-0.05,0.12,0.08,0.12,0.22,0.03,0.09,0.12,-0.08,0.05,0.03,-0.09,-0.05,-0.03,-0.01,0.07,-0.07,0.2,29.03,28.93,2543.03,28.25,0.79,0.73,2.8,2.03,72.29,0.84,0.06,0.05,0.47,44.89,-0.05,-0.01,-0.05,0.06,0.1,"A",2020
"258","X. Neri","People's Land of Maneau","GK","Punctual Rustlers",25,1994,37.92,0.05,0.03,-0.07,NA,0.02,-0.07,NA,NA,NA,-0.04,0.02,-0.02,0.01,0.05,NA,-0.08,0.05,37.95,23.63,36.2,65.3,832.08,571.75,4.05,3.98,99.94,9.14,9.09,99.43,9.86,22.47,44.34,0.09,-0.05,0.1,38.08,-0.07,-0.02,0.08,0,0,-0.06,0.21,-0.05,0.07,0.14,0.11,37.48,0.3,-0.07,0,-0.04,0,0.07,-0.08,-0.05,0.1,-0.02,0.12,10.93,8.94,874.94,9.68,1.11,1.06,2.97,1.73,64.39,0.89,0.09,0.03,0.17,22.25,0.03,0.03,0.06,0.1,NA,"A",2020
"283","Y. Owino","Djipines","GK","Silver Heels",32,1987,3.06,-0.08,-0.04,-0.03,NA,0.07,-0.06,NA,NA,NA,-0.06,-0.1,-0.09,-0.06,-0.09,NA,0.05,0.09,2.92,14.74,34.39,42.76,788.24,674.67,1.06,1.02,100.07,2.26,2.76,87.46,11.32,30.63,37.1,0.03,-0.01,-0.02,2.94,-0.01,-0.05,0.04,0,0.06,-0.06,0.01,NA,0.05,-0.03,0.09,NA,-0.03,0.04,0.07,-0.08,-0.07,-0.02,-0.04,0.01,-0.03,0.01,0.05,38.02,37.91,3420,37.94,1.52,1.56,3.82,2.41,63.3,0.31,0.24,0.47,0.19,23.69,0.02,0.07,0.09,0.04,0.01,"A",2020
"284","Q. Musimenta","Nganion","GK","Silver Heels",32,1987,34.99,-0.02,0.03,-0.07,NA,0.09,0.07,NA,NA,NA,-0.05,0.05,0.06,-0.1,-0.03,NA,-0.07,0.08,34.92,16.98,30.04,56.09,616.79,437.19,2.47,2.43,100.09,6.25,6.53,96.94,8.02,20.9,38.29,-0.03,-0.02,0.03,35.09,0.03,-0.01,0.01,0,0.09,-0.04,0,0.1,0.04,0.04,0.02,33.21,0.18,0,-0.08,-0.09,-0.03,-0.07,-0.02,-0.04,0.01,-0.05,0.07,2.91,3.04,269.99,3.05,2.71,2.63,7.36,4.75,63.53,-0.1,0.26,0.59,-0.01,-0.04,-0.07,0.07,0.06,-0.03,NA,"A",2020
"306","S. Zandamela","Mico","GK","Solemn Cougars",32,1986,38.03,-0.08,0.05,0.06,0,-0.05,-0.02,0,NA,58.93,0.06,-0.06,0.08,-0.03,0.07,0.09,-0.06,-0.01,38.03,23.79,30.97,76.77,734.94,413.86,3.15,3.15,99.93,11.01,11.01,99.06,9.66,16.77,57.62,0.04,0.05,0,37.93,-0.03,-0.02,-0.07,0.09,-0.04,0.02,-0.01,-0.04,0.12,0.05,0,39.91,0.14,-0.02,-0.01,-0.01,-0.01,-0.06,0.1,0.01,0.11,0.03,-0.03,34.91,34.94,3150.01,35.02,1.22,1.27,4.29,3.08,71.32,0.34,0.18,0.36,0.29,28.58,0.1,0.02,-0.02,0.03,NA,"A",2020
"337","M. Janssens","Ledian","GK","Somber Bombers",30,1989,37.98,0.08,-0.06,-0.09,NA,-0.05,-0.02,NA,NA,NA,0.03,0.02,-0.01,0,-0.03,NA,-0.04,-0.06,37.91,15.66,28.73,54.37,676.31,507.39,1.34,1.37,98.07,4.88,5.02,97.5,9.48,22.28,42.15,-0.09,0.07,-0.05,38.1,0.08,-0.03,-0.05,-0.06,0.08,0.02,0.12,-0.02,0.04,0.18,-0.1,0.07,0.17,0,-0.03,0.01,0.02,0.05,0.11,0.07,0.07,-0.03,0.12,38.05,38.06,3419.93,38.09,1.14,1.07,3.39,2.44,73.81,0.45,0.15,0.33,0.26,34.16,0.21,0.31,0.1,-0.05,19.98,"A",2020
"362","W. Kong","Imaar Vircoand","GK","Stacked Rocks",27,1992,17.84,0.08,0,0.08,NA,0.01,-0.03,NA,NA,NA,0.01,-0.04,0.08,-0.06,-0.09,NA,0.02,-0.05,17.84,17.78,28.78,61.78,540.82,349.66,4.05,4.02,98.53,7.7,7.72,99.37,6.18,17.02,35.84,-0.02,0.03,-0.06,17.99,-0.08,-0.02,-0.03,-0.09,0.02,0.05,-0.09,NA,-0.02,0.08,0.06,-0.05,0.07,0.04,0.04,0.1,0.09,0.09,-0.08,-0.04,-0.03,0.05,-0.07,38.05,37.99,3420.03,38.05,1.49,1.59,5.09,3.59,70.51,0.28,0.33,0.49,0.31,28.94,0.02,0.1,-0.06,0.03,0.03,"A",2020
"363","W. Nasiru","Rarita","GK","Stacked Rocks",32,1986,20.08,0.01,0.07,-0.07,NA,-0.02,0.09,NA,NA,NA,-0.06,-0.01,0.06,0.05,-0.09,NA,0.05,0.02,20.19,19.76,28.35,69.46,651.73,428.69,4.28,4.24,98.83,6.56,6.62,97.72,8.64,17.03,50.67,-0.06,-0.1,0.02,20.1,0.05,0.02,0.05,-0.04,0.03,0.01,0.06,NA,-0.09,-0.04,-0.09,-0.07,-0.05,-0.04,-0.02,0.06,0.07,0.02,0,0.1,0.06,0.09,0.03,18.03,16.97,1613.08,17.91,1.53,1.42,4.42,3.21,70.82,0.3,0.32,0.43,0.03,11.76,0.17,0.11,0.01,-0.03,24.99,"A",2020
"393","A. Bianco","Byasier Pujan","GK","Sugar Storm",31,1988,36.09,-0.03,-0.06,-0.01,NA,-0.04,0,NA,NA,NA,0.09,-0.01,-0.02,0.01,-0.07,NA,0.03,-0.03,35.94,29.2,43.03,67.44,910.78,534,3.47,3.46,100,13.37,13.64,98.93,12.16,25.84,46.83,0,0.08,0.1,35.96,0.05,-0.01,0.05,0.1,0,0.07,0.09,-0.08,0.09,0.26,-0.02,14.39,0.26,0.07,-0.06,0.04,0,-0.03,0.1,0.05,-0.03,0,-0.01,35.93,36.07,3239.98,36.09,1.91,1.89,5.18,3.49,65.55,0.11,0.15,0.77,0.14,13.93,0.08,0.01,0,-0.05,40.04,"A",2020
"394","Q. Nakyeyune","Esia","GK","Sugar Storm",30,1988,0.28,-0.07,0.1,0,NA,-0.09,0.08,NA,NA,NA,-0.08,0.05,0.05,0.05,-0.05,NA,-0.04,0.1,0.27,35.1,49.98,69.99,635.09,394.91,25.08,24.96,99.9,-0.01,4.95,-0.08,10.09,20.09,49.98,0.07,0.06,-0.07,0.27,0.03,0.09,0.08,-0.01,-0.03,0.07,0,NA,0.06,0.06,0.08,NA,0,0.08,0.06,-0.04,-0.07,-0.07,-0.06,5.04,4.92,-0.03,0.08,0.92,0.93,20.91,0.29,4.92,4.32,5.06,5.08,99.95,-0.07,0.02,4.91,0.1,-0.01,5.06,4.93,0.03,0.07,0.04,"A",2020
"395","W. Akena","Highhlaands","GK","Sugar Storm",35,1984,1.85,0.07,0.03,0.06,NA,0.07,-0.1,NA,NA,NA,-0.01,0.04,-0.05,-0.03,0.07,NA,0.1,-0.05,1.73,17.2,28.31,60.75,459.34,300.6,4.44,4.37,100.08,4.52,4.51,100.04,7.21,18.39,39.45,0.06,-0.05,-0.03,1.78,0.01,0.04,-0.08,-0.06,0.1,-0.09,0.04,NA,0.03,-0.07,0.08,NA,0.06,-0.02,0,-0.04,-0.06,0.01,0,-0.06,-0.03,0.06,-0.01,1.98,0.99,159.05,1.83,3.3,3.4,6.09,2.73,45.42,-0.06,0.03,0.53,0.05,0.03,0.6,0.06,0.64,0.03,100.03,"A",2020
"420","A. Mlenga","People's Land of Maneau","GK","Swift Musketeers",23,1996,9.96,0,0.01,-0.05,NA,0.07,-0.04,NA,NA,NA,-0.09,0.03,-0.05,0.04,-0.06,NA,-0.07,0.08,9.91,11.14,25.52,43.32,410.53,294.41,2.05,2.18,100.02,3.49,3.57,100.07,5.51,20.05,27.53,0.06,0.01,0.08,9.92,-0.03,0.06,-0.09,0.04,-0.01,-0.06,0.01,-0.02,0.05,0.39,0.15,33.34,0.25,0,-0.03,-0.1,0.08,-0.03,0.03,-0.03,0.05,-0.02,-0.09,9.98,10.09,899.97,9.9,2.51,2.45,5.36,2.91,56.62,0.21,0.19,0.61,0.26,20.07,0.17,0.24,-0.06,0.1,0.1,"A",2020
"421","F. Ribeiro","People's Land of Maneau","GK","Swift Musketeers",29,1989,27.95,0.01,0.04,-0.09,NA,0.04,0.02,NA,NA,NA,-0.03,0,0.06,0.05,0.06,NA,0.09,0.01,28.06,15.73,29.17,54.19,624.79,463.67,1.79,1.88,92.71,5.26,5.4,98.06,8.68,21.71,40.1,0.09,0.09,0.07,28.01,-0.06,0.03,-0.04,0.01,0.08,0.07,0.09,NA,-0.02,0.06,-0.04,100.02,0.12,-0.02,0.05,-0.1,-0.05,0.03,-0.01,-0.1,-0.02,0.02,0.1,28.03,27.91,2519.95,28.1,1.33,1.25,3.91,2.68,69.01,0.43,0.1,0.38,0.19,25.02,0.16,0.05,-0.03,0.03,49.91,"A",2020
"448","N. Kyohirwe","Dosqaly","GK","Flawless Cows",26,1993,2.9,0.01,-0.09,0.09,NA,-0.1,-0.07,NA,NA,NA,0.07,0.01,-0.04,-0.1,0.08,NA,0.1,0.04,3.09,18.67,19.36,96.5,376.73,247.3,4.63,4.63,100.07,10.75,10.76,99.99,2.27,3,77.76,0.02,-0.05,-0.05,2.9,0.07,0.05,0.02,-0.05,0.07,-0.06,-0.01,NA,-0.06,-0.01,-0.07,NA,-0.04,-0.03,0.05,0.06,0.04,0.03,0.06,0.06,-0.03,-0.08,-0.03,3.02,3.07,270.09,3.07,0.66,0.72,1.36,0.7,49.93,0.6,0.09,0.28,0.64,66.7,-0.01,-0.03,0.03,-0.05,NA,"B",2020
"449","Y. Kyosiimire","Nganion","GK","Flawless Cows",25,1993,2.02,0.02,0,-0.04,NA,-0.04,0.05,NA,NA,NA,-0.1,-0.08,0.04,0.01,-0.02,NA,0.09,0.09,2.1,19.07,24.44,77.68,369.49,239.54,6.42,7.55,86.76,10.41,10.54,99.96,2.06,6.56,30.82,0.03,0.06,0.02,2.06,-0.07,-0.04,0.04,0.07,-0.02,0.01,-0.06,NA,-0.03,-0.06,0.06,NA,0.05,0.08,0.01,-0.01,0.01,0.03,0.04,-0.04,0.03,0.09,0.91,1.92,1.94,179.97,2.06,1.92,1.99,5.49,3.49,63.55,1.04,-0.05,-0.04,-0.08,0.01,-0.04,-0.01,0.1,0.1,NA,"B",2020
