"","�..Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"30","R. Petrenko","Lefghau","DF","Fighting Cougars",24,1995,7.41,-0.02,1.02,0.17,28.64,0.96,0.26,0.02,-0.05,18.11,-0.1,0.04,0.09,-0.04,0.02,0.11,-0.01,-0.09,38.13,51.18,74.64,629.48,277.26,18.91,22.84,82.94,16.28,20.71,78.11,2.44,5.4,43.95,-0.06,0.1,-0.05,0.4,3.41,1.08,0.47,5.14,3.69,2.19,1.84,0.72,1.19,1.68,2.51,63.21,0.94,17.29,5.9,34.04,7.44,6.31,3.23,2.07,0.31,0.07,1.79,0.58,4.38,3.28,0.03,"A",2020
"31","Z. Salisu","Nganion","DF","Fighting Cougars",28,1991,21.2,-0.09,0.3,0.07,37.5,0.46,0.16,0.07,-0.05,16.63,-0.02,-0.07,0.01,0.08,0.13,0.23,-0.1,-0.05,47.74,59.47,80.27,837.84,294.54,23.44,26.45,88.15,18.81,22.42,84.32,4.84,8,61.1,0.01,0.01,-0.1,1.02,1.97,1.68,0.79,4.27,2.38,1.43,1.38,0.61,0.22,1.03,2.47,43.98,1.4,17.84,4.31,24.59,7.77,7.57,2.52,1.97,0.32,0.07,1.74,0.79,3.07,2.67,0.1,"A",2020
"32","D. Ikeda","People's Land of Maneau","DF","Fighting Cougars",27,1991,35.84,0.14,0.87,0.28,33.37,0.9,0.28,0.12,0.22,10.93,0.05,0.02,0.08,0.09,0.02,0.23,-0.07,-0.06,53.21,61.13,87.34,1254.69,375.23,12.51,13.86,90.79,28.89,30.12,95.78,11.41,16.36,70.03,0.1,-0.07,0.11,0.31,3.57,0.2,-0.06,2.36,1.15,0.72,0.8,0.34,-0.06,0.26,1.16,31.76,0.77,6.94,2.94,43.05,4.63,2.09,0.24,2.07,0.94,0.05,0.96,1.07,2.12,4.47,0.11,"A",2020
"33","I. Ludwig","People's Land of Maneau","DF","Fighting Cougars",27,1992,31.95,0.01,0.36,0.1,0.08,0.31,0.08,-0.03,NA,11.69,-0.09,-0.05,-0.01,0.14,0.06,0.02,-0.03,-0.03,43.37,57.52,75.47,749.55,272.98,21.17,24.32,86.99,18.12,22.32,80.92,3.74,8.54,42.37,-0.01,0.02,0.06,0.62,3.54,0.71,0.28,3.21,1.9,1.21,1.02,0.65,0.18,0.83,1.83,42.86,1,14.47,5.12,35.38,7.85,4.95,1.65,2.02,0.68,-0.09,1.42,0.77,2.68,4.72,0.05,"A",2020
"34","K. Tóth","People's Land of Maneau","DF","Fighting Cougars",24,1995,29.58,0.16,0.48,0.24,43.77,0.57,0.2,0.27,0.43,13.18,0.07,-0.01,-0.08,0.14,0.03,0.07,0.11,0.15,52.31,61.55,84.78,1140.31,389.94,15.58,17.08,90.55,26.51,29.71,89.75,9.88,14.05,70.92,-0.01,-0.01,0.04,0.25,3.05,0.22,0.04,3.27,1.23,0.92,0.76,0.38,0.05,0.56,1.14,44.35,0.66,7.59,2.83,38.69,4.94,2.17,0.31,2.19,1,-0.08,1.11,1.17,2.31,6.12,0.09,"A",2020
"35","U. Ortíz","People's Land of Maneau","DF","Fighting Cougars",18,2000,6.5,-0.04,0.29,-0.09,-0.03,0.34,0.03,-0.09,NA,24.48,0.04,0.04,0.03,0.02,-0.02,0.1,-0.01,0.05,26.61,36.15,73.69,446.9,129.41,12.8,15.49,83.01,11.89,15.85,74.88,1.81,3.46,52.21,0.05,0.03,0.08,0.7,1.73,0.86,0.82,2.04,1.29,0.42,1.19,0.12,0,0.01,1.47,-0.08,1.29,14.06,2.71,18.71,5.99,4.97,3.07,1.98,0.14,-0.07,1.94,1.43,2.77,2.39,0.06,"A",2020
"36","O. Ilukol","Sobianitedrucy","DF","Fighting Cougars",30,1989,4.1,-0.04,1.32,0.21,19.96,1.26,0.27,-0.06,0.09,15.11,0,0.02,-0.07,0.05,0.16,-0.03,-0.01,-0.03,30.29,42.29,71.58,518.77,177.88,13.21,17.56,75.77,14.09,16.95,82.45,2.78,5.67,47.85,0.09,-0.03,0.09,0.09,1.07,0.68,0.27,2.2,1.45,1.34,1.04,0.18,0.17,0,1.33,0.05,1.22,11.89,3.56,29.86,6.41,3.49,1.68,1.79,-0.09,-0.03,1.68,0.76,2.25,4.17,0.1,"A",2020
"37","D. bin Salleh","Southslands","DF","Fighting Cougars",27,1992,13.89,0.06,0.43,0.08,16.78,0.44,0.13,0.13,1.09,11.49,0.05,0.07,-0.04,0.06,0.07,0.31,-0.11,0.02,37.3,44.32,84.04,878.06,253.48,9.23,10.48,89.58,19.77,21.91,90.16,7.88,11.47,70.1,-0.07,-0.04,0.08,0.09,1.85,0.31,-0.02,1.64,1.2,0.65,0.71,0.3,0.06,0.27,1.37,22.14,1.06,7.17,2.41,34.05,5.05,2.03,0.23,1.43,0.59,0.03,0.91,0.88,2.15,8.39,0.01,"A",2020
"38","G. Köhler","People's Land of Maneau","DFFW","Fighting Cougars",25,1994,12.67,0.01,1.75,0.55,38.07,1.66,0.64,0.05,-0.02,18.55,0.09,0.01,0.02,0.04,0.21,0.14,-0.15,-0.2,34.34,47.29,72.47,637.5,183.63,15.72,18.27,86.16,14.33,18.24,78.01,4.09,8.57,46.79,0.06,0.09,0,0.98,1.33,1.67,0.64,3.4,2.09,1.43,1.2,0.67,0.2,0.76,1.66,42.88,1.01,12.4,3.48,27.83,4.27,4.58,3.65,1.69,0.14,0,1.49,0.86,2.97,1.48,0.17,"A",2020
"49","B. Kakooza","Central Namemo Laand","MFDF","Fighting Cougars",31,1988,0.61,-0.07,-0.03,-0.03,NA,-0.05,0.07,NA,NA,NA,-0.03,0.08,0.05,0.01,-0.07,NA,-0.07,-0.02,34.21,50.06,68.51,611.41,249.92,17.2,22.96,74.99,12.89,17.1,75.06,4.33,8.48,49.98,0.07,0.22,-0.24,2.84,4.34,1.44,1.36,4.35,0.09,0.09,-0.02,0.07,0.08,-0.1,-0.08,NA,0.03,17.08,10.02,58.32,8.5,5.72,2.82,2.91,1.34,-0.03,1.35,0.1,0.05,-0.02,-0.06,"A",2020
"50","O. Kia","Western Niasland","MFDF","Fighting Cougars",20,1998,13.12,0.01,0.95,0.18,23.04,0.94,0.25,-0.02,-0.08,16.83,-0.1,-0.08,-0.06,0.11,-0.01,0.09,-0.02,-0.12,42.67,50.26,84.84,679.49,197.17,22.16,24.73,89.55,17.64,20.29,86.96,2.21,3.11,66.74,0.03,-0.01,-0.07,0.89,2.45,1.13,0.23,4.15,2.09,1.78,1.74,0.13,0.08,0.76,1.61,45.52,0.92,17.75,5.88,32.72,7.44,7.14,3.17,2.04,0.24,-0.05,1.77,0.71,2.93,0.98,-0.05,"A",2020
"55","D. Daniel","People's Land of Maneau","DF","Great Galactic Gorgons",26,1993,38.1,-0.04,0.29,0.12,38.47,0.43,0.07,0.19,0.36,16.97,0.07,0.02,-0.05,-0.04,0.1,0.16,-0.01,-0.01,30.92,40.87,75.64,474.95,172.18,18.25,20.09,90.37,9.66,12.38,77.92,2.28,5.54,40.2,0.01,0.17,-0.07,0.66,1.66,1.1,0.7,2.4,1.9,1.18,1.11,0.53,0.37,0.66,1.3,49.95,0.63,14.86,4.23,27.92,6.48,5.45,2.95,1.56,0.08,-0.08,1.44,0.84,2.65,2.38,0.01,"A",2020
"56","H. Akugizibwe","People's Land of Maneau","DF","Great Galactic Gorgons",25,1994,32.36,0.1,0.4,0.05,12.48,0.5,0.09,-0.03,-0.05,9.13,0.09,-0.07,0.05,0.06,0.08,0.02,0.03,-0.12,35.65,48.09,74.31,759.55,301.73,13.45,15.17,88.47,15.79,18.68,84.24,6.35,12.97,48.93,0.13,-0.02,0.06,0.38,2.97,0.73,0.09,3.65,1.15,0.59,0.7,0.25,0.13,0.49,0.96,48.24,0.51,8.26,2.9,34.23,4.79,2.7,0.69,2.3,0.7,-0.05,1.58,1.18,2.11,6.61,0.01,"A",2020
"57","I. Akpan","People's Land of Maneau","DF","Great Galactic Gorgons",36,1982,2.72,-0.06,0,0.01,NA,0.07,0.01,NA,NA,NA,-0.04,0.04,0.09,0.1,0.06,NA,0.04,-0.01,21.94,27.09,80.85,452.94,129.35,6.97,7.77,90.45,11.8,13.34,88.88,2.99,5.91,50.05,0.01,0.08,0.07,0.03,0.82,0.44,0.39,1.14,2.16,1.45,1.45,0.81,-0.06,0.32,2.22,16.73,1.81,9.58,3.41,34.5,7.08,2.66,0.09,3.26,1.84,-0.03,1.43,0.76,2.89,10.08,0.09,"A",2020
"58","T. Awuah","People's Land of Maneau","DF","Great Galactic Gorgons",25,1993,5.68,-0.06,0.04,0.05,NA,-0.07,0.08,NA,NA,NA,0.09,-0.03,0.09,0.04,-0.06,NA,-0.03,-0.02,34.56,45.94,75.15,702.92,260.81,11.59,13.06,89.09,17.9,21.27,83.94,4.66,10.07,46.43,-0.04,0.05,-0.04,0.41,3.3,0.12,0.1,2.45,1.62,0.46,0.88,0.72,-0.02,0.92,1.7,50.08,0.81,9.92,2.81,29.11,5.97,3.49,0.42,2.62,0.84,0.06,1.86,0.27,1.96,6.95,0.02,"A",2020
"59","M. Ludwig","Rarita","DF","Great Galactic Gorgons",31,1988,35.93,-0.1,0.09,0.05,0.03,0.23,0.1,-0.04,NA,12.3,0,-0.05,0.04,0.01,-0.04,0,0.03,0.08,30.07,40.57,74.21,567.29,184.24,12.99,14.66,88.17,12.21,16.88,73.05,4.11,7.42,55.09,-0.04,-0.04,0,0.28,1.72,0.36,0.21,1.68,2.33,1.31,1.64,0.58,0.02,0.97,2.26,40.41,1.25,11.5,3.73,32.38,7.16,3.31,0.87,1.49,0.52,0.11,0.97,1.07,3.47,7.34,0.04,"A",2020
"60","I. Najjemba","Southslands","DF","Great Galactic Gorgons",26,1992,35.38,0.13,0.69,0.17,17.96,0.81,0.15,0,0.38,8.88,0.07,0.07,0.05,0.13,0.08,0.08,-0.06,0.03,28.71,34.23,83.73,682.29,183.82,7.12,8,89.84,14.1,15.63,89.85,7.1,10.02,71.47,0.02,0.09,0.07,0.06,1.85,0.14,0.08,1.84,1.23,0.73,0.93,0.3,-0.06,0.5,1.23,46.73,0.69,8.46,2.77,34.02,5.87,2.17,0.28,2.02,0.87,0.08,1.16,0.71,2.03,7.53,0.2,"A",2020
"61","X. Nalukenge","Southslands","DF","Great Galactic Gorgons",29,1990,37.19,0.1,0.64,0.07,18.19,0.67,0.01,0.11,0.42,18.25,0.01,-0.1,0.1,0.12,0,0.09,-0.05,0.03,37.83,50.95,74.02,652.35,265.27,19.42,22,88.76,14.11,18,78.21,3.63,8.34,44.79,0.17,0.17,-0.09,0.89,2.91,1.38,0.23,4.64,2.06,1.14,1.15,0.59,0.22,0.63,2.07,32.43,1.32,16.22,4.31,26.6,7.53,5.97,2.8,2.04,0.25,0.06,1.87,0.58,2.75,2.34,0.01,"A",2020
"80","F. Nakazibwe","People's Land of Maneau","MFDF","Great Galactic Gorgons",24,1994,6.52,0.03,0.49,0.23,33.31,0.46,0.18,-0.01,-0.1,12.24,-0.07,-0.07,0.08,0.06,0.12,0.12,-0.12,0.04,27.14,39.23,69.12,440.58,111.76,14.73,17.69,83.61,8.55,11.11,76.68,3.12,7.9,38.57,-0.04,0.15,-0.19,1.06,1.72,0.78,0.28,1.86,2.75,1.58,2.09,0.44,0.2,0.52,2.33,26.77,1.61,24.73,6.04,24.43,8.84,10.59,5.39,2.64,0.21,0.1,2.41,0.45,3.18,1.55,0.01,"A",2020
"81","Z. Okon","Byasier Pujan","DF","Green Fleet",21,1998,1.46,0.05,0.57,0.09,0.03,0.59,0,-0.07,NA,9.97,-0.05,0.06,0.01,0.05,0.09,0.06,-0.07,-0.07,41.23,48.7,84.85,717.29,201.99,18.64,20.69,90.33,17.34,20.76,83.99,4.07,4.64,85.69,-0.01,0.13,-0.02,1.25,1.24,0.1,0.04,3.42,0.71,0.65,0.59,0.04,-0.03,0.76,2.69,25.05,1.95,12.65,3.29,26.34,6.03,6.09,0.59,-0.08,0.08,0.02,0.05,2.63,3.32,1.41,0.09,"A",2020
"82","G. Nimusiima","Central Diasongo","DF","Green Fleet",25,1994,1.73,-0.1,0.07,0,NA,-0.09,-0.07,NA,NA,NA,-0.07,0.04,-0.01,-0.09,-0.03,NA,0.01,-0.03,37.54,42.4,88.92,744.69,254.79,12.45,14.03,87.44,19.97,21.15,94.32,5.22,6.37,81.72,-0.04,-0.06,-0.01,-0.04,1.12,-0.09,0.08,2.32,0.02,0.08,0.08,-0.02,-0.01,0.06,0.55,0.02,0.66,10.03,2.32,23.46,5.81,4.18,0.03,1.73,1.66,-0.08,-0.01,1.18,1.08,4.12,-0.02,"A",2020
"83","C. Ahmad","Imaar Vircoand","DF","Green Fleet",29,1990,1.36,0.09,0.8,0.03,-0.09,0.72,0.09,0.06,NA,5.2,-0.05,0.06,-0.09,0.07,0.06,0.21,0,-0.12,26.45,39.39,67.22,533.53,230.62,7.86,8.55,91.61,14.21,17.84,80.01,4.37,12.05,35.25,-0.08,0.07,0.01,0.06,2.13,0.02,-0.07,3.58,1.46,0.8,0.73,0.73,0.05,0,2.06,-0.06,2.04,11.46,2.94,25.06,4.32,6.53,0.74,0.68,0.69,0.08,0.03,0.78,2.21,6.51,-0.04,"A",2020
"84","C. Muyama","People's Land of Maneau","DF","Green Fleet",24,1995,19.35,0.03,0.48,0.19,50,0.51,0.34,-0.01,0.07,18.6,0,0.01,-0.01,0.05,0.08,0.08,0.01,-0.08,58.16,67.13,86.46,872.35,322.78,32.58,35,92.95,22.38,25.57,87.12,2.42,4.33,54.19,0.07,0.08,0.01,1.09,3.18,1.34,0.36,5.62,1.82,1.24,0.94,0.44,0.26,0.81,1.82,42.9,0.96,14.12,4.13,28.51,6.31,6.12,1.77,2.8,0.33,-0.1,2.4,0.82,2.63,3.08,0.03,"A",2020
"85","G. Hernández","People's Land of Maneau","DF","Green Fleet",21,1997,34.09,-0.02,0.3,-0.02,11.1,0.2,0.06,-0.06,-0.01,17.36,0.09,0.02,0.03,-0.01,0.1,0.14,0.05,0,49.02,60.51,81.13,729.71,278.08,28.91,31.88,90.65,16.75,20.79,80.94,2.22,4.5,50.04,0.16,0.07,0.08,0.66,3.13,0.55,0.22,4.18,4.01,1.87,2.46,1.37,0.21,1.35,2.1,61.67,0.76,17.83,5.22,28.83,9.03,6.69,2.3,3.01,0.48,-0.02,2.59,1.46,5.4,3.27,0.05,"A",2020
"86","I. Donati","People's Land of Maneau","DF","Green Fleet",27,1992,1.47,0.06,1.38,0.75,49.96,1.33,0.65,-0.07,-0.07,9.99,0.08,-0.04,-0.03,0.19,0.05,0.15,-0.05,-0.04,52.67,59.24,88.85,925.37,265.22,22.78,24.08,94.33,24.01,26.74,89.96,4.72,6.71,69.97,-0.02,-0.05,-0.08,0.03,3.91,-0.03,-0.01,0.65,2.63,1.24,1.29,1.36,0.03,1.41,1.36,100.08,-0.01,12.03,6.01,50.06,8.1,3.34,0.71,0.65,0.05,0.05,0.57,1.4,4.02,12.75,0.74,"A",2020
"87","L. Mugumya","People's Land of Maneau","DF","Green Fleet",21,1997,2.19,0.07,-0.08,-0.08,NA,0.08,0.06,NA,NA,NA,0.05,-0.01,-0.09,-0.05,-0.02,NA,0.03,-0.05,60.54,67.13,90.01,1110.96,314.33,25.74,27.57,93.06,26.16,28.08,93.23,8.15,9.93,80.99,0,0.06,-0.08,0.07,3.88,0,-0.03,2.32,1.4,1.38,-0.02,1.53,-0.05,0.1,0.44,0.01,0.38,14.31,3.8,26.65,5.69,6.65,1.85,3.28,-0.08,-0.05,3.38,0.96,2.37,2.93,0.51,"A",2020
"88","R. Ishii","People's Land of Maneau","DF","Green Fleet",34,1985,10.67,-0.1,0.29,-0.04,0.03,0.29,-0.09,-0.04,NA,20.82,0.06,-0.04,0.09,-0.03,0.09,-0.05,0.07,0.09,53.37,69.22,76.87,1056.57,433.67,21.62,23.6,91.51,23.75,27.82,84.71,7.56,15.75,48.22,0,0.12,-0.06,1.61,5.64,1.13,0.19,6.02,0.85,0.37,0.33,0.34,0.26,0.29,1.93,9.53,1.82,11.18,3.23,29.47,4.45,5.55,1.41,2.32,0.09,0.01,2,1.23,2.19,2.83,-0.03,"A",2020
"89","U. Wright","People's Land of Maneau","DF","Green Fleet",26,1993,37.99,0.03,0.74,0.12,24.93,0.85,0.29,-0.01,0.15,11.69,0.1,0.01,-0.07,0.09,0.1,0.07,-0.03,-0.04,56.04,63.3,88.59,1235.04,310.36,14.41,16.07,90.55,30.48,32.85,93.06,10.33,13.51,76.34,0.03,-0.02,0.05,0.5,4.33,0.13,-0.1,2.65,1.26,0.76,0.64,0.5,0.02,0.43,1.01,38.83,0.55,6.34,2.39,37.49,4.11,2.09,0.19,1.23,0.68,0.03,0.46,1.37,2.68,6.37,-0.07,"A",2020
"90","Z. Agyei","People's Land of Maneau","DF","Green Fleet",18,2000,11.12,0.16,0.48,0.17,33.39,0.59,0.21,0.09,0.59,13.06,-0.04,0.09,0.01,0.01,0.05,0.06,-0.05,0.03,47.4,56.8,83.56,755.73,240.33,26.1,28.75,90.35,17.82,20.51,87.05,2.77,5.8,49.15,-0.08,-0.01,0,1.18,2.49,1.74,0.35,4.09,1.61,0.54,0.97,0.41,0.21,0.61,2.53,28.58,1.83,14.88,3.59,24.11,6.68,5.6,2.62,3.16,0.47,-0.04,2.66,0.7,2.41,1.96,-0.08,"A",2020
"91","Q. Sarfo","Xikong","DF","Green Fleet",25,1994,34.48,0.11,0.15,0.07,16.67,0.19,0.06,0.24,1.04,10.77,-0.09,0.07,0.02,-0.07,-0.01,0.09,-0.06,0.09,51.31,58.41,87.59,1033.68,320.19,16.34,17.71,92.56,27.72,29.85,93.45,6.56,9.82,66.71,-0.06,-0.08,-0.06,0.16,2.39,0.07,0,2.72,0.88,0.44,0.53,0.19,0.08,0.26,0.53,70.53,0.16,6.39,1.86,29.03,3.44,2.8,0.13,1.38,0.52,0.02,0.93,0.69,1.66,4.86,-0.07,"A",2020
"92","K. Nalwanga","Rarita","DFMF","Green Fleet",20,1999,0.78,-0.03,1.37,0.07,0.01,1.34,-0.04,0.08,NA,6.96,0.09,-0.09,0,0.38,0.33,0.27,-0.29,-0.31,72.98,91.49,79.64,1267.15,354.27,34.33,38.62,88.93,29.98,35.65,83.91,7.07,14.38,50.07,-0.03,-0.01,0,0.09,1.38,-0.01,0.04,2.94,4.24,2.86,4.34,-0.03,0.06,2.96,5.69,49.9,2.87,11.49,5.7,50.07,4.21,2.96,4.27,1.41,0.07,-0.01,1.49,0.04,4.35,5.71,-0.07,"A",2020
"98","Q. Scott","Byasier Pujan","FWDF","Green Fleet",19,1999,0.47,-0.05,2.55,0.07,-0.07,2.45,-0.04,-0.02,NA,12.85,0.09,0.07,0.06,0.25,0.25,0.05,-0.34,-0.27,22.46,34.97,64.2,340.03,89.98,9.92,15.06,66.78,12.59,12.5,99.96,0.01,2.56,0,0.1,-0.04,-0.02,0,2.55,-0.04,-0.02,4.92,-0.01,-0.07,-0.03,0.02,-0.02,-0.04,-0.08,NA,0.09,37.57,10.1,26.6,9.96,7.59,20,0.09,0.04,0.1,-0.03,2.55,2.43,-0.02,-0.09,"A",2020
"110","A. Haruna","Dosqaly","DF","Horrible Grizzlies",24,1994,25.99,-0.08,0.63,0.25,33.32,0.59,0.29,0.01,0.05,11.03,-0.06,0.05,-0.08,0.12,0.08,0,-0.01,-0.05,68.16,76.18,89.47,1586.08,401.12,16.08,17.2,92.46,37.22,39.65,93.68,14.8,18.24,80.17,0.05,0.05,-0.01,0.01,4.09,0.07,-0.07,3.09,1.26,0.72,0.93,0.33,-0.06,0.16,0.32,37.45,0.26,6.81,2.07,31.09,3.99,2.86,0.13,1.29,0.54,0.06,0.79,0.96,2.3,7,0.08,"A",2020
