Player Name,League,Squad,Country,Position,Annualized Salary
R. Lambert,A,Great Galactic Gorgons,Ngoque Blicri,FW,"∂ 26,200,000"
Y. Susanti,A,Great Galactic Gorgons,Ngoque Blicri,FW,"∂ 27,640,000"
A. Schmitt,A,Great Galactic Gorgons,People's Land of Maneau,FW,"∂ 26,370,000"
U. Rodriguês,A,Great Galactic Gorgons,People's Land of Maneau,FW,"∂ 34,980,000"
W. Swee,A,Great Galactic Gorgons,People's Land of Maneau,FW,"∂ 19,550,000"
M. Nkhata,A,Great Galactic Gorgons,People's Land of Maneau,FWDF,"∂ 24,470,000"
G. Elbaz,A,Great Galactic Gorgons,Dosqaly,FWMF,"∂ 30,260,000"
H. Gomani,A,Great Galactic Gorgons,Southslands,FWMF,"∂ 29,870,000"
A. Soong,A,Great Galactic Gorgons,People's Land of Maneau,GK,"∂ 25,510,000"
A. Tayebwa,A,Great Galactic Gorgons,Dosqaly,MF,"∂ 10,690,000"
D. Kojima,A,Great Galactic Gorgons,Highhlaands,MF,"∂ 31,520,000"
A. Aryemo,A,Great Galactic Gorgons,Ngoque Blicri,MF,"∂ 32,610,000"
G. Gustafsson,A,Great Galactic Gorgons,People's Land of Maneau,MF,"∂ 30,720,000"
H. Susanto,A,Great Galactic Gorgons,Redohrainbri,MF,"∂ 18,810,000"
F. Nakazibwe,A,Great Galactic Gorgons,People's Land of Maneau,MFDF,"∂ 20,660,000"
Z. Okon,A,Green Fleet,Byasier Pujan,DF,"∂ 23,880,000"
G. Nimusiima,A,Green Fleet,Central Diasongo,DF,"∂ 3,220,000"
D. Chen,A,Green Fleet,Lefghau,DF,"∂ 24,280,000"
C. Muyama,A,Green Fleet,People's Land of Maneau,DF,"∂ 19,050,000"
G. Hernández,A,Green Fleet,People's Land of Maneau,DF,"∂ 14,680,000"
L. Mugumya,A,Green Fleet,People's Land of Maneau,DF,"∂ 12,990,000"
U. Kaahwa,A,Green Fleet,People's Land of Maneau,DF,"∂ 7,230,000"
U. Wright,A,Green Fleet,People's Land of Maneau,DF,"∂ 22,000,000"
Z. Agyei,A,Green Fleet,People's Land of Maneau,DF,"∂ 14,770,000"
Q. Sarfo,A,Green Fleet,Xikong,DF,"∂ 3,260,000"
C. Gheorghe,A,Green Fleet,Central Diasongo,FW,"∂ 17,030,000"
I. Koomson,A,Green Fleet,Djipines,FW,"∂ 21,140,000"
L. Obote,A,Green Fleet,Dosqaly,FW,"∂ 32,590,000"
I. Abeja,A,Green Fleet,Janmico,FW,"∂ 38,440,000"
J. Namatovu,A,Green Fleet,People's Land of Maneau,FW,"∂ 6,920,000"
T. Ichikawa,A,Green Fleet,People's Land of Maneau,FW,"∂ 31,170,000"
Z. Nabaweesi,A,Green Fleet,People's Land of Maneau,FW,"∂ 28,400,000"
N. Gheorghe,A,Green Fleet,Republic of Denand Landsa,FW,"∂ 27,490,000"
L. Amadu,A,Green Fleet,Xikong,FW,"∂ 32,270,000"
S. Avraham,A,Green Fleet,Nganion,FWMF,"∂ 27,800,000"
G. Mwebaze,A,Green Fleet,Nganion,GK,"∂ 18,080,000"
P. Kabugo,A,Green Fleet,People's Land of Maneau,GK,"∂ 19,620,000"
C. Ji,A,Green Fleet,Greri Landmoslands,MF,"∂ 31,790,000"
Q. Nabutono,A,Green Fleet,Lefghau,MF,"∂ 19,920,000"
P. Bauri,A,Green Fleet,Ngoque Blicri,MF,"∂ 35,260,000"
A. Miura,A,Green Fleet,Rosvi,MF,"∂ 16,090,000"
U. Guerin,A,Green Fleet,Tabhu Striary,MF,"∂ 4,470,000"
G. Hartmann,A,Green Fleet,Byasier Pujan,MFFW,"∂ 27,650,000"
J. Rukundo,A,Green Fleet,Dosqaly,MFFW,"∂ 31,430,000"
A. Haruna,A,Horrible Grizzlies,Dosqaly,DF,"∂ 23,430,000"
D. Svensson,A,Horrible Grizzlies,Esia,DF,"∂ 8,810,000"
O. Khainza,A,Horrible Grizzlies,Lefghau,DF,"∂ 11,720,000"
Y. Eyotaru,A,Horrible Grizzlies,Mico,DF,"∂ 15,490,000"
D. Martini,A,Horrible Grizzlies,Nganion,DF,"∂ 31,860,000"
S. Namugere,A,Horrible Grizzlies,Nganion,DF,"∂ 22,230,000"
F. Kalule,A,Horrible Grizzlies,People's Land of Maneau,DF,"∂ 27,830,000"
T. Nouri,A,Horrible Grizzlies,People's Land of Maneau,DF,"∂ 19,540,000"
V. Thompson,A,Horrible Grizzlies,People's Land of Maneau,DF,"∂ 31,250,000"
V. bin Ali,A,Horrible Grizzlies,Sobianitedrucy,DF,"∂ 24,980,000"
S. Mlakar,A,Horrible Grizzlies,Dosqaly,FW,"∂ 30,800,000"
Q. Günther,A,Horrible Grizzlies,Esia,FW,"∂ 29,980,000"
J. Wan,A,Horrible Grizzlies,People's Land of Maneau,FW,"∂ 20,530,000"
Z. Makore,A,Horrible Grizzlies,People's Land of Maneau,FW,"∂ 24,900,000"
N. Nantege,A,Horrible Grizzlies,People's Land of Maneau,FWDF,"∂ 33,180,000"
A. Olobo,A,Horrible Grizzlies,Biarizea,FWMF,"∂ 30,470,000"
D. Kayira,A,Horrible Grizzlies,Slandsganiamayotteque,FWMF,"∂ 26,810,000"
E. Wibowo,A,Horrible Grizzlies,Coastpa Barleslands,GK,"∂ 15,120,000"
R. Wanyama,A,Horrible Grizzlies,Imaar Vircoand,GK,"∂ 11,490,000"
J. Nkrumah,A,Horrible Grizzlies,Nganion,GK,"∂ 9,830,000"
M. Matsumoto,A,Horrible Grizzlies,Dosqaly,MF,"∂ 30,800,000"
C. Nyesiga,A,Horrible Grizzlies,Manlisgamncent,MF,"∂ 22,560,000"
Y. Diallo,A,Horrible Grizzlies,Ngoque Blicri,MF,"∂ 12,230,000"
G. Baey,A,Horrible Grizzlies,People's Land of Maneau,MF,"∂ 26,330,000"
I. Makavan,A,Horrible Grizzlies,Sobianitedrucy,MF,"∂ 27,700,000"
H. Alobo,A,Horrible Grizzlies,Esia,MFFW,"∂ 27,350,000"
O. Nampeera,A,Horrible Grizzlies,People's Land of Maneau,MFFW,"∂ 30,150,000"
B. Longoli,A,Horrible Storm,Djipines,DF,"∂ 9,600,000"
A. Tay,A,Horrible Storm,Frenchdo Stanser,DF,"∂ 28,970,000"
D. Yusof,A,Horrible Storm,Nkasland Cronestan,DF,"∂ 21,510,000"
B. Stewart,A,Horrible Storm,People's Land of Maneau,DF,"∂ 19,400,000"
H. Steiner,A,Horrible Storm,People's Land of Maneau,DF,"∂ 14,950,000"
K. Mirkovi?,A,Horrible Storm,People's Land of Maneau,DF,"∂ 17,400,000"
Y. Aidoo,A,Horrible Storm,People's Land of Maneau,DF,"∂ 23,230,000"
H. Nsamba,A,Horrible Storm,Byasier Pujan,FW,"∂ 24,050,000"
E. Estrada,A,Horrible Storm,Frenchdo Stanser,FW,"∂ 23,230,000"
A. Popescu,A,Horrible Storm,People's Land of Maneau,FW,"∂ 32,520,000"
X. Yau,A,Horrible Storm,People's Land of Maneau,FW,"∂ 15,100,000"
K. Aliyu,A,Horrible Storm,Saintswacroa,FW,"∂ 22,290,000"
K. Muhumuza,A,Horrible Storm,People's Land of Maneau,FWMF,"∂ 22,310,000"
K. Namuwaya,A,Horrible Storm,People's Land of Maneau,FWMF,"∂ 25,750,000"
N. Bondarenko,A,Horrible Storm,People's Land of Maneau,FWMF,"∂ 30,860,000"
S. Tamale,A,Horrible Storm,Imaar Vircoand,GK,"∂ 26,390,000"
K. Makaza,A,Horrible Storm,Dosqaly,MF,"∂ 11,530,000"
R. Akech,A,Horrible Storm,Eastern Covaki,MF,"∂ 17,110,000"
L. Egger,A,Horrible Storm,Lefghau,MF,"∂ 13,950,000"
Z. Cher,A,Horrible Storm,Ngoque Blicri,MF,"∂ 29,810,000"
G. Baey,A,Horrible Storm,People's Land of Maneau,MF,"∂ 30,190,000"
T. Nkhoma,A,Horrible Storm,Southslands,MF,"∂ 26,430,000"
Q. Mbambu,A,Horrible Storm,Lefghau,MFFW,"∂ 27,710,000"
Y. Nabulo,A,Horrible Storm,People's Land of Maneau,MFFW,"∂ 10,500,000"
Z. Chipeta,A,Mighty Jays,Esia,DF,"∂ 14,950,000"
D. Asaba,A,Mighty Jays,Greri Landmoslands,DF,"∂ 8,490,000"
S. Chided,A,Mighty Jays,Lefghau,DF,"∂ 14,780,000"
S. Kaggwa,A,Mighty Jays,Lefghau,DF,"∂ 17,980,000"
E. ?ta,A,Mighty Jays,Nganion,DF,"∂ 8,670,000"
Z. Semakula,A,Mighty Jays,Nganion,DF,"∂ 25,460,000"
Q. Aini,A,Mighty Jays,Ngoque Blicri,DF,"∂ 16,720,000"
E. Ramezani,A,Mighty Jays,People's Land of Maneau,DF,"∂ 13,270,000"
V. Ram,A,Mighty Jays,People's Land of Maneau,DF,"∂ 14,380,000"
Z. Nakagawa,A,Mighty Jays,People's Land of Maneau,DF,"∂ 19,000,000"
A. Akoth,A,Mighty Jays,Unicorporated Tiagascar,DF,"∂ 20,000,000"
G. Siddiqui,A,Mighty Jays,Central Diasongo,FW,"∂ 28,170,000"
U. Nalumansi,A,Mighty Jays,Czechnor,FW,"∂ 26,610,000"
F. Heng,A,Mighty Jays,Dosqaly,FW,"∂ 25,220,000"
I. Kakuru,A,Mighty Jays,Lefghau,FW,"∂ 35,710,000"
C. Ssentamu,A,Mighty Jays,People's Land of Maneau,FW,"∂ 26,670,000"
I. Nugraha,A,Mighty Jays,People's Land of Maneau,FW,"∂ 22,990,000"
G. Dijkstra,A,Mighty Jays,People's Land of Maneau,FWDF,"∂ 26,510,000"
U. Chio,A,Mighty Jays,Lefghau,FWMF,"∂ 24,940,000"
Z. Marini,A,Mighty Jays,Central Republic of Boekrainego,GK,"∂ 24,650,000"
X. Adikini,A,Mighty Jays,Cuandbo,GK,"∂ 18,110,000"
V. Kumwenda,A,Mighty Jays,Esia,GK,"∂ 36,670,000"
J. Rolland,A,Mighty Jays,Frenchdo Stanser,MF,"∂ 7,580,000"
M. Kusiima,A,Mighty Jays,Nancipenuaroe,MF,"∂ 34,240,000"
A. Vang,A,Mighty Jays,Nganion,MF,"∂ 15,070,000"
Y. Ferrara,A,Mighty Jays,People's Land of Maneau,MF,"∂ 28,900,000"
H. David,A,Mighty Jays,Redohrainbri,MF,"∂ 33,160,000"
K. Abalo,A,Mighty Jays,Quewenia,MFDF,"∂ 15,940,000"
E. Nakanjako,A,Mighty Jays,Rarita,MFFW,"∂ 10,750,000"
V. Garcia,A,Old Mustangs,Byasier Pujan,DF,"∂ 16,030,000"
A. Sihombing,A,Old Mustangs,Central Namemo Laand,DF,"∂ 23,440,000"
F. Nassolo,A,Old Mustangs,Djipines,DF,"∂ 26,640,000"
M. Tumuramye,A,Old Mustangs,Ngoque Blicri,DF,"∂ 28,620,000"
E. Ruzvidzo,A,Old Mustangs,People's Land of Maneau,DF,"∂ 19,420,000"
I. Kabagenyi,A,Old Mustangs,People's Land of Maneau,DF,"∂ 18,110,000"
T. Chebet,A,Old Mustangs,People's Land of Maneau,DF,"∂ 9,420,000"
Z. Rojas,A,Old Mustangs,People's Land of Maneau,DF,"∂ 28,960,000"
I. Ssentongo,A,Old Mustangs,Varijitri Isles,DF,"∂ 10,370,000"
X. Nazari,A,Old Mustangs,Ingre,DFFW,"∂ 4,160,000"
M. Carpentier,A,Old Mustangs,Lefghau,DFMF,"∂ 25,960,000"
Y. Niemi,A,Old Mustangs,Coastpa Barleslands,FW,"∂ 33,480,000"
Y. Wood,A,Old Mustangs,Frenchdo Stanser,FW,"∂ 29,870,000"
E. Alowo,A,Old Mustangs,Greri Landmoslands,FW,"∂ 31,060,000"
F. Njoku,A,Old Mustangs,Lefghau,FW,"∂ 28,160,000"
W. Kayange,A,Old Mustangs,Southern Ristan,FW,"∂ 23,150,000"
L. Edwards,A,Old Mustangs,People's Land of Maneau,FWMF,"∂ 23,610,000"
U. Nakazibwe,A,Old Mustangs,Lefghau,GK,"∂ 29,470,000"
F. Walker,A,Old Mustangs,Nganion,GK,"∂ 10,160,000"
P. Tetteh,A,Old Mustangs,Southslands,GK,"∂ 22,300,000"
V. Waswa,A,Old Mustangs,Byasier Pujan,MF,"∂ 18,870,000"
V. Mattila,A,Old Mustangs,Iverde,MF,"∂ 27,620,000"
I. Aidoo,A,Old Mustangs,Nganion,MF,"∂ 18,570,000"
Q. Johnsen,A,Old Mustangs,People's Land of Maneau,MF,"∂ 34,130,000"
H. Twongirwe,A,Old Mustangs,People's Land of Maneau,MFDF,"∂ 16,190,000"
P. Saputra,A,Old Mustangs,People's Land of Maneau,MFDF,"∂ 23,070,000"
A. Logose,A,Old Mustangs,Lylimi,MFFW,"∂ 24,420,000"
Q. Nakityo,A,Old Mustangs,Quewenia,MFFW,"∂ 26,040,000"
N. Kamusiime,A,Punctual Rustlers,Dosqaly,DF,"∂ 25,780,000"
A. Tumuhaise,A,Punctual Rustlers,People's Land of Maneau,DF,"∂ 14,430,000"
H. Farina,A,Punctual Rustlers,People's Land of Maneau,DF,"∂ 27,230,000"
S. Debnath,A,Punctual Rustlers,People's Land of Maneau,DF,"∂ 12,330,000"
I. Namugosa,A,Punctual Rustlers,Western Niasland,DF,"∂ 12,280,000"
G. Tukwasibwe,A,Punctual Rustlers,Dosqaly,DFFW,"∂ 17,550,000"
A. Berisha,A,Punctual Rustlers,People's Land of Maneau,DFFW,"∂ 16,380,000"
T. Kafuko,A,Punctual Rustlers,Southslands,DFMF,"∂ 21,060,000"
L. Lechner,A,Punctual Rustlers,Lefghau,FW,"∂ 32,310,000"
C. Namutebi,A,Punctual Rustlers,People's Land of Maneau,FW,"∂ 39,230,000"
N. Ono,A,Punctual Rustlers,People's Land of Maneau,FW,"∂ 27,840,000"
J. Lysenko,A,Punctual Rustlers,Sobianitedrucy,FW,"∂ 24,740,000"
R. Arai,A,Punctual Rustlers,Varijitri Isles,FW,"∂ 25,630,000"
H. Turyatunga,A,Punctual Rustlers,Republic of Denand Landsa,FWDF,"∂ 30,270,000"
T. Zoabi,A,Punctual Rustlers,People's Land of Maneau,FWMF,"∂ 17,930,000"
N. Namwanje,A,Punctual Rustlers,Western Niasland,FWMF,"∂ 31,880,000"
H. Ochan,A,Punctual Rustlers,Greri Landmoslands,GK,"∂ 27,720,000"
X. Neri,A,Punctual Rustlers,People's Land of Maneau,GK,"∂ 13,340,000"
M. Ngamita,A,Punctual Rustlers,Xikong,GK,"∂ 13,320,000"
M. Nankwanga,A,Punctual Rustlers,Central Diasongo,MF,"∂ 21,800,000"
B. Kor,A,Punctual Rustlers,Cuandbo,MF,"∂ 27,560,000"
S. Peretz,A,Punctual Rustlers,Djipines,MF,"∂ 13,610,000"
K. Van den Berg *,A,Punctual Rustlers,Dosqaly,MF,"∂ 20,930,000"
X. Muhwezi,A,Punctual Rustlers,Greri Landmoslands,MF,"∂ 19,300,000"
R. Gentile,A,Punctual Rustlers,Lefghau,MF,"∂ 12,550,000"
G. Chong,A,Punctual Rustlers,People's Land of Maneau,MF,"∂ 24,370,000"
D. Pellegrino,A,Punctual Rustlers,People's Land of Maneau,MFDF,"∂ 16,000,000"
M. Vásquez,A,Punctual Rustlers,Lefghau,MFFW,"∂ 21,540,000"
I. Mlambo,A,Punctual Rustlers,Redohrainbri,MFFW,"∂ 30,080,000"
D. Iskandar,A,Silver Heels,Byasier Pujan,DF,"∂ 24,870,000"
F. Hove,A,Silver Heels,Coastpa Barleslands,DF,"∂ 20,680,000"
C. Boyko,A,Silver Heels,Dosqaly,DF,"∂ 9,590,000"
B. Masika,A,Silver Heels,People's Land of Maneau,DF,"∂ 8,880,000"
B. Weiß,A,Silver Heels,People's Land of Maneau,DF,"∂ 11,480,000"
B. Wright,A,Silver Heels,People's Land of Maneau,DF,"∂ 16,180,000"
K. Machava,A,Silver Heels,People's Land of Maneau,DF,"∂ 15,200,000"
Q. Majawa,A,Silver Heels,People's Land of Maneau,DF,"∂ 21,290,000"
Z. Kayendeke,A,Silver Heels,People's Land of Maneau,DF,"∂ 13,180,000"
Z. Mutandwa,A,Silver Heels,People's Land of Maneau,DF,"∂ 23,280,000"
M. Purnomo,A,Silver Heels,Central Diasongo,FW,"∂ 26,300,000"
D. Morales,A,Silver Heels,Dosqaly,FW,"∂ 13,150,000"
F. Diaz,A,Silver Heels,Southern Ristan,FW,"∂ 22,880,000"
X. Nakanwagi,A,Silver Heels,Southern Ristan,FW,"∂ 18,630,000"
W. Markovi?,A,Silver Heels,Nancipenuaroe,FWMF,"∂ 26,070,000"
Q. Musimenta,A,Silver Heels,Nganion,GK,"∂ 11,470,000"
C. Leroy,A,Silver Heels,People's Land of Maneau,GK,"∂ 3,970,000"
J. Agaba,A,Silver Heels,Byasier Pujan,MF,"∂ 23,400,000"
E. Mutebi,A,Silver Heels,Nancipenuaroe,MF,"∂ 27,490,000"
V. Mahagna,A,Silver Heels,Ngoque Blicri,MF,"∂ 21,360,000"
J. Mukalazi,A,Silver Heels,People's Land of Maneau,MF,"∂ 26,870,000"
A. Nyasulu,A,Silver Heels,Rosvi,MF,"∂ 23,500,000"
I. Joseph,A,Silver Heels,Southslands,MF,"∂ 9,510,000"
A. Bruno,A,Silver Heels,People's Land of Maneau,MFFW,"∂ 30,890,000"
A. Nakiranda,A,Solemn Cougars,Dosqaly,DF,"∂ 10,370,000"
Q. Sam,A,Solemn Cougars,Giumle Lizeibon,DF,"∂ 14,380,000"
S. Kasamba,A,Solemn Cougars,Greri Landmoslands,DF,"∂ 27,320,000"
R. Navarro,A,Solemn Cougars,Highhlaands,DF,"∂ 19,610,000"
T. Nagujja,A,Solemn Cougars,Nancipenuaroe,DF,"∂ 21,540,000"
F. Omara,A,Solemn Cougars,People's Land of Maneau,DF,"∂ 21,500,000"
Y. Deng,A,Solemn Cougars,People's Land of Maneau,DF,"∂ 25,330,000"
A. Acheng,A,Solemn Cougars,Southern Ristan,DF,"∂ 25,870,000"
D. Tawiah,A,Solemn Cougars,Thaijagypt,DF,"∂ 11,620,000"
M. Happy,A,Solemn Cougars,Varijitri Isles,DF,"∂ 21,220,000"
C. Mwesige,A,Solemn Cougars,People's Land of Maneau,DFFW,"∂ 29,350,000"
L. Musoki,A,Solemn Cougars,People's Land of Maneau,FW,"∂ 27,430,000"
V. Mudondo,A,Solemn Cougars,People's Land of Maneau,FW,"∂ 32,680,000"
H. Mubaiwa,A,Solemn Cougars,Rarita,FW,"∂ 1,580,000"
I. Nyamande,A,Solemn Cougars,Republic of Denand Landsa,FW,"∂ 37,280,000"
X. Joly,A,Solemn Cougars,People's Land of Maneau,FWMF,"∂ 38,050,000"
S. Zandamela,A,Solemn Cougars,Mico,GK,"∂ 17,000,000"
R. Schubert,A,Solemn Cougars,Buhegeor,MF,"∂ 21,980,000"
O. Nabirye,A,Solemn Cougars,Coastpa Barleslands,MF,"∂ 10,920,000"
Q. Annan,A,Solemn Cougars,Greri Landmoslands,MF,"∂ 17,530,000"
T. bin Mohamed,A,Solemn Cougars,People's Land of Maneau,MF,"∂ 15,990,000"
H. Leong,A,Solemn Cougars,Southern Ristan,MF,"∂ 29,510,000"
C. Kawooya,A,Solemn Cougars,Republic of Denand Landsa,MFDF,"∂ 32,300,000"
F. Mtambo,A,Solemn Cougars,Nganion,MFFW,"∂ 36,830,000"
W. Török,A,Solemn Cougars,People's Land of Maneau,MFFW,"∂ 31,290,000"
X. Boateng,A,Solemn Cougars,Southern Ristan,MFFW,"∂ 26,170,000"
Q. Higenyi,A,Solemn Cougars,Varijitri Isles,MFFW,"∂ 20,980,000"
O. binti Mohamad,A,Somber Bombers,Djipines,DF,"∂ 13,730,000"
P. Ferri,A,Somber Bombers,Highhlaands,DF,"∂ 22,930,000"
Y. Phe,A,Somber Bombers,Imaar Vircoand,DF,"∂ 18,870,000"
V. Abiria,A,Somber Bombers,Nganion,DF,"∂ 22,160,000"
X. Heikkilä,A,Somber Bombers,People's Land of Maneau,DF,"∂ 16,010,000"
M. Nabukwasi,A,Somber Bombers,Quewenia,DF,"∂ 15,440,000"
I. Amoah,A,Somber Bombers,Slandsganiamayotteque,DF,"∂ 10,970,000"
F. Kollár,A,Somber Bombers,Southslands,DF,"∂ 32,440,000"
V. Lao,A,Somber Bombers,Xikong,DF,"∂ 6,550,000"
K. Najjuma,A,Somber Bombers,Ngoque Blicri,DFMF,"∂ 24,690,000"
S. Mbewe,A,Somber Bombers,People's Land of Maneau,DFMF,"∂ 14,050,000"
B. Maturu,A,Somber Bombers,People's Land of Maneau,FW,"∂ 22,370,000"
D. Athieno,A,Somber Bombers,People's Land of Maneau,FW,"∂ 23,810,000"
H. Mafabi,A,Somber Bombers,Dosqaly,FWMF,"∂ 20,050,000"
R. De Wit,A,Somber Bombers,Lefghau,FWMF,"∂ 26,680,000"
D. Masereka,A,Somber Bombers,Ngoque Blicri,FWMF,"∂ 13,010,000"
R. Wambi,A,Somber Bombers,People's Land of Maneau,FWMF,"∂ 29,920,000"
M. Janssens,A,Somber Bombers,Ledian,GK,"∂ 21,840,000"
P. Johansson,A,Somber Bombers,People's Land of Maneau,GK,"∂ 23,110,000"
N. Koz?owski,A,Somber Bombers,Ngoque Blicri,MF,"∂ 7,960,000"
A. Nassanga,A,Somber Bombers,People's Land of Maneau,MF,"∂ 22,780,000"
M. Ferrara,A,Somber Bombers,People's Land of Maneau,MF,"∂ 16,770,000"
Y. Ferrara,A,Somber Bombers,People's Land of Maneau,MF,"∂ 34,120,000"
Z. Yosef,A,Somber Bombers,People's Land of Maneau,MF,"∂ 12,040,000"
T. Achan,A,Somber Bombers,Southslands,MF,"∂ 23,300,000"
C. K?avi?š,A,Somber Bombers,People's Land of Maneau,MFDF,"∂ 27,790,000"
J. P?tersons,A,Somber Bombers,Danan Seekeeling,MFFW,"∂ 24,490,000"
O. Mägi,A,Stacked Rocks,Central Diasongo,DF,"∂ 26,170,000"
C. Magombo,A,Stacked Rocks,Djipines,DF,"∂ 6,920,000"
M. Tang,A,Stacked Rocks,Djipines,DF,"∂ 21,800,000"
K. Mpofu,A,Stacked Rocks,Nganion,DF,"∂ 30,790,000"
A. Janssen,A,Stacked Rocks,People's Land of Maneau,DF,"∂ 19,030,000"
D. Nishimura,A,Stacked Rocks,People's Land of Maneau,DF,"∂ 20,550,000"
