"","�..Player","Nation","Pos","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err"
"33","S. Amulen","Byasier Pujan","FW",22,1999,1.79,-0.04,1.86,0,-0.05,1.8,-0.08,-0.09,NA,18.85,0.1,0.07,-0.04,0.05,0.07,-0.01,-0.17,-0.07,27.11,32.37,83.52,370.64,72.36,17.2,19.36,87.85,8.26,10.06,82.35,0.67,1.28,50.09,1.15,1.09,0.13,2.94,0.68,1.14,-0.06,4.03,1.42,0.87,0.41,0.57,0.52,-0.01,0.55,0.04,0.42,27.54,7.17,25.82,2.82,13.33,11.49,0.55,-0.01,0.09,0.51,0.03,1.5,-0.04,0
"34","U. Yong","Byasier Pujan","FW",30,1990,0.03,-0.06,0.01,-0.07,NA,0.05,0.06,NA,NA,NA,0.07,0.09,0.1,-0.09,0,NA,-0.04,-0.02,90.03,140.06,64.37,989.96,180,60.09,70.03,85.62,19.99,39.98,50.09,-0.07,20.07,-0.08,0.04,-0.03,-0.05,0.01,9.95,-0.06,0.07,10.1,-0.09,0,0.08,-0.01,-0.08,-0.08,0.62,-0.07,0.52,11.21,2.4,21.1,1.73,2.98,6.47,0.63,0.02,0.06,0.63,0.07,-0.02,-0.01,-0.04
"35","Y. Manjate","Byasier Pujan","FW",26,1994,3.62,0.57,3.15,0.83,27.27,2.98,0.74,-0.01,0.35,18.54,0.38,0.34,-0.02,0.64,0.44,0.2,-0.02,-0.14,34.15,48.88,69.98,544.95,174.37,21.8,26.19,82.96,8.56,11.47,75.6,2.87,8.86,31.36,0.61,0.25,0.32,1.74,3.31,2.58,0.21,5.28,-0.05,0.04,0.1,-0.09,0.08,-0.08,9.96,0.03,10.02,90.09,39.97,44.32,20.01,39.98,30.09,-0.08,0.02,0.05,0.03,0.02,0.01,0.06,-0.01
"36","Z. Namiiro","Byasier Pujan","FWDF",29,1992,0.77,0.08,1.35,-0.09,-0.08,1.48,-0.02,0.02,NA,20.03,0.01,0.05,-0.09,-0.06,0.04,-0.04,-0.04,0.09,44.33,58.68,75.59,658.64,97.19,22.98,30.06,76.25,15.75,21.43,73.26,2.91,2.95,100.03,-0.01,-0.07,0.08,0.03,-0.09,1.48,1.46,-0.07,0.02,0.02,-0.09,0.1,-0.02,-0.08,0.78,-0.01,0.79,13.38,5.28,39.56,0.77,4.51,8.05,0.33,0.08,-0.02,0.29,0.58,0.49,0.08,0
"50","L. Ningsih","Djipines","FW",22,1999,0.11,0.09,0.07,-0.07,NA,0.09,-0.06,NA,NA,NA,0.05,0.07,-0.09,0.02,0.02,NA,-0.05,0.03,49.97,50.08,100.02,670.01,140.01,29.96,30.03,99.92,9.93,9.94,100,0.02,-0.07,NA,-0.03,-0.07,0.02,0.05,-0.09,-0.07,0.01,0.08,0.04,0.09,-0.03,0.05,-0.02,0.05,-0.02,NA,0.05,30.08,-0.01,0.1,-0.09,9.92,20.04,-0.04,-0.09,0.01,-0.09,0.04,-0.09,-0.04,0.03
"51","C. Mawejje","Djipines","FWMF",23,1997,0.36,0.03,0.01,0.03,NA,-0.06,0.06,NA,NA,NA,-0.08,-0.08,-0.06,0.04,-0.08,NA,-0.07,0.09,12.59,20.03,62.57,280.02,52.48,2.54,4.98,50.04,7.56,7.45,100.02,2.52,5.1,49.99,-0.07,0,-0.02,0.09,0.09,-0.09,0.03,-0.08,-0.01,-0.09,0.01,-0.02,0.09,-0.05,-0.04,NA,-0.06,15.08,2.53,16.75,2.57,-0.01,12.51,7.51,2.43,0.07,5.1,-0.06,0.01,2.49,-0.06
"52","F. Alupo","Djipines","FWMF",28,1992,3.29,0.33,1.85,0.61,33.35,1.91,0.61,0.21,0.57,8.67,-0.07,-0.09,0.04,0.12,0.22,0.03,0.26,0.23,10.01,16.69,60.43,145.33,20.95,6.9,9.13,75.99,1.95,3.41,54.6,0.96,2.14,42.95,0,0.05,0.03,-0.07,0.57,0.37,0.08,0.65,0.05,0.05,-0.02,0.01,-0.03,-0.06,1,0.1,0.9,15.54,3.78,23.95,0.94,10.03,4.69,0.27,-0.05,0.09,0.36,0.23,0.28,2.09,0.04
"57","I. Koomson","Djipines","MFFW",23,1997,3.4,-0.04,1.1,0.55,49.93,1.15,0.5,-0.01,0,19.01,0.08,-0.03,-0.04,0.08,0.01,0.13,-0.04,0,15.17,20.59,73.7,321.16,120.82,6.35,7.51,84.62,4.58,6.6,69.55,3.92,5.43,73.69,0.08,0.08,-0.21,2.83,0.33,1.41,1.1,1.21,1.14,0.33,0.09,0.83,0.35,0.05,-0.06,NA,0.1,15.39,2.87,18.45,1.63,9.38,4.31,1.24,-0.01,-0.03,1.21,0.33,1.36,0.33,-0.04
"58","K. Mohammadzadeh","Djipines","MFFW",30,1990,3.83,0.17,1.76,0.86,42.98,1.74,0.84,0.17,0.39,12.04,0,-0.06,-0.04,0.43,0.34,0.31,-0.1,-0.23,30.29,39.54,76.53,608.54,140.75,13.28,16.69,79.99,11.59,13.34,86.45,5.45,8.56,63.65,0.09,0.15,-0.15,1.05,2.87,1.34,0.26,4.05,1.81,1.36,1.02,0.35,0.61,-0.09,0.19,-0.09,0.32,19.8,3.76,19.5,4.59,10.03,5.11,1.11,0.18,0.07,0.81,1.63,3.25,0.54,0.09
"59","Q. Ariko","Djipines","MFFW",31,1989,3.92,0.04,2.25,0.57,22.12,2.26,0.56,0.03,-0.06,16.25,-0.04,0.3,-0.06,0.42,0.28,0.05,-0.42,-0.17,17.12,26.17,65.61,439.07,169.08,3.77,4.9,79,8.77,10.81,81.05,4.53,8.68,52.83,0.54,0.33,0.11,1.48,3.4,2.34,0.61,4.3,0.25,0.23,0.23,0.03,0.01,-0.06,0.45,0.08,0.47,8.3,1.03,12.41,1.51,3.27,3.27,0.94,0.05,-0.07,1.03,1.02,1.19,1.26,-0.03
"60","T. Cheung","Djipines","MFFW",23,1997,0.59,-0.03,1.64,-0.03,0.02,1.67,0.06,0.08,NA,8.23,-0.04,0.02,-0.07,0.09,0.19,0.22,-0.17,-0.15,25.02,28.22,88.21,348.24,93.33,13.25,13.21,99.93,6.66,8.34,79.94,1.7,3.3,49.93,0.08,0.1,-0.18,1.61,1.58,0.1,0,1.71,5.07,3.4,5.01,-0.03,0.05,1.67,3.4,50.08,1.7,16.79,3.41,20,6.68,6.67,3.42,1.62,1.64,0.02,-0.07,-0.03,5.04,1.71,0
"69","H. Robert","Dosqaly","FW",22,1998,4.21,0.08,3.29,0.74,21.34,3.2,0.68,0,0.04,16.48,0.04,-0.07,0.39,0.45,0.29,0.06,-0.44,-0.44,20.44,25.98,78.66,337.24,63.38,10.88,12.7,87.01,7.22,8.65,83.78,1.86,3.27,57.05,0.32,0.25,-0.09,1.56,1.43,0.88,0.09,2.1,0.48,0.26,-0.01,0.3,0.21,-0.08,0.43,-0.05,0.44,7.48,1.33,18.83,1.39,3.3,2.7,0.64,0.23,-0.03,0.54,0.23,0.62,-0.09,0.04
"70","K. Nambozo","Dosqaly","FW",25,1995,-0.03,0.04,0,0.02,NA,-0.02,0.03,NA,NA,NA,0.01,0.1,-0.02,0.09,-0.04,NA,0.09,-0.03,5.96,6.9,85.73,107.91,26.06,2.98,3,100.06,2.01,1.98,99.97,1.03,2.06,50.07,0.02,0.05,-0.16,1.03,0.07,0.91,0.93,0.08,-0.08,-0.04,-0.02,-0.05,-0.06,-0.06,0.01,NA,0,0.08,0.03,NA,-0.03,0.03,0.04,0.08,-0.05,0.02,0.04,-0.07,-0.03,-0.03,-0.05
"71","S. Mlakar","Dosqaly","FW",34,1986,0.59,0.06,4,2.08,49.93,4.25,2.07,0.03,0.1,13.05,0.01,0.03,0.08,0.46,0.5,0.03,-0.47,-0.48,13.9,22,63.6,197.98,39.94,12.09,16.06,74.94,-0.04,1.98,-0.09,2.05,1.95,99.9,-0.09,0.24,-0.13,1.92,-0.03,1.92,0.05,2.01,-0.06,-0.07,0.1,0.09,-0.04,-0.05,-0.03,NA,0.03,25.98,8.01,30.87,4.1,6.03,15.98,3.99,-0.02,0.03,3.94,0.09,0.06,-0.08,0.08
"72","Y. Sen","Dosqaly","FW",33,1987,3.84,1.05,2.54,0.98,40.08,2.57,1.04,0.36,0.67,15.57,0.18,0.21,-0.04,0.77,0.55,0.2,0.27,0.16,31.89,36.64,87.18,472.95,101.17,21.13,22.65,93.08,9.38,11.03,85.68,1.29,1.31,100.09,-0.01,-0.01,0.01,0.86,2.45,0.25,-0.06,2.42,0.25,0.17,0.19,0.07,-0.02,0.06,0.04,NA,0.07,8.69,2.95,33.33,0.96,4.8,2.91,0.24,0.1,-0.06,0.19,0.53,0.78,0.27,-0.02
"73","P. Peh","Dosqaly","FWMF",23,1997,0.26,-0.08,3.33,-0.04,0.06,2.85,0.03,-0.08,NA,19.42,0.01,0,0.08,-0.04,-0.01,-0.05,0.08,0.05,19.91,36.61,54.6,396.73,73.22,6.71,10.09,66.74,10.07,16.68,59.93,3.33,6.7,49.99,-0.04,0.03,-0.06,3.26,0.09,0.06,-0.01,3.37,-0.09,0.09,0.04,-0.06,0.04,-0.08,3.37,0,3.41,13.3,3.34,25.04,3.39,3.38,6.68,0.02,-0.04,0.05,-0.07,0.03,-0.01,-0.09,-0.06
"74","U. Oola","Dosqaly","FWMF",26,1994,0.98,-0.01,1.09,1.01,100,1.14,1.19,-0.04,0.05,27.91,0.04,0.1,0.09,0.08,0.07,-0.04,-0.05,0.03,65.6,67.83,96.68,1288.99,205.69,26.63,26.61,100.09,24.37,25.58,95.73,13.3,14.49,92.3,0.04,-0.02,-0.07,1.14,4.4,1.07,0.08,3.37,1.1,1.1,-0.03,1.15,-0.1,-0.05,1.02,-0.01,1.2,17.83,4.42,25.1,5.55,8.95,3.3,-0.05,-0.08,0.03,0.02,1.21,2.14,2.23,0.08
"79","M. Sakai","Dosqaly","MFFW",24,1996,0.96,0,4.02,2.09,50,4,1.96,-0.1,-0.06,20.39,0.06,0.04,0.08,0.19,0.06,0.09,-0.18,-0.14,32.97,41.99,78.6,510.02,102.01,18.02,21.92,81.9,13.09,16.1,81.3,2.01,3.99,50.06,0.08,0.23,-0.27,3.91,0.92,-0.1,-0.07,2.98,1.94,1.98,1.06,0.93,0.03,-0.04,-0.09,NA,-0.09,16.94,6.97,41.12,4.95,11.09,0.93,0.07,0.05,-0.03,0.09,0.06,2.09,-0.06,0.09
"80","O. Aboagye","Dosqaly","MFFW",29,1991,3.88,0.27,2.04,0.69,37.5,2.09,0.77,0.11,0.39,19.04,0.07,0.05,-0.04,0.27,0.32,0.06,0.07,-0.01,39.03,48.46,80.43,825.83,194.82,14.13,16.3,86,16.23,17.92,90.03,8.81,13.34,65.42,0.09,0.17,-0.19,2.32,3.83,1.59,0.02,5.14,2.83,2.5,1.05,0.99,0.85,0.75,0.94,75.06,0.33,20.83,6.34,30.91,3.6,11.54,5.68,1.54,0,-0.08,1.52,0.28,3.18,0.86,-0.04
"87","H. Jaber","Eastern Niasland","FW",20,2000,0.81,0.02,0.04,0.03,NA,0,-0.03,NA,NA,NA,0.06,-0.04,0.04,0.03,0.06,NA,-0.09,0.09,13.26,17.88,74.92,205.65,29.9,5.54,6.66,83.25,6.73,8.86,74.92,1.17,1.04,100,0.05,-0.07,-0.1,2.22,1.16,1.18,1.08,0.02,2.31,1.17,1.15,1.15,-0.09,2.29,3.36,66.77,1.15,10.1,1.17,11.09,1.1,6.69,2.25,1.17,0.05,0.03,1.13,1.07,3.43,-0.06,-0.02
"88","J. Purba","Eastern Niasland","FW",28,1992,1.96,-0.06,3.18,1.14,33.3,3.07,0.96,-0.06,0.1,26.11,0.05,-0.1,0.04,0.1,0.05,-0.05,-0.08,-0.1,27.92,33.3,84.08,466.8,71.08,13.27,15.38,86.21,9,11.08,81.08,2.68,2.72,100.08,0,0.03,0.02,1.67,1.53,1.56,0.46,2.61,0.47,0.43,0.48,-0.09,-0.03,0.06,0.96,-0.06,1.06,15.22,4.68,31.07,3.25,7.47,4.72,0.07,-0.01,-0.08,-0.03,1.62,2.16,-0.08,-0.02
"89","J. Soares","Eastern Niasland","FW",37,1983,2.79,0.27,0.66,0.42,50.06,0.69,0.41,0.5,1.05,15.51,-0.03,0.02,0.09,0.05,0.21,0.28,0.19,0.23,15.39,22.14,69.36,251.84,38.27,8.58,11.44,74.93,4.74,5.3,86.68,1.33,1.77,79.95,0.08,0.16,-0.21,1.09,1.15,0.28,-0.05,1.07,0.72,0.03,0.27,0.32,0.08,-0.02,-0.09,NA,0.02,9.6,2.6,25.87,1.09,4.33,4.2,0.79,-0.1,0.08,0.69,0.39,1.02,0.06,-0.09
"90","U. Manhique","Eastern Niasland","FW",22,1998,0.14,0,0.1,-0.09,NA,0.01,0.1,NA,NA,NA,0.09,0.08,0.07,-0.03,-0.06,NA,-0.07,0.03,-0.01,-0.04,NA,0.03,0.01,-0.02,0.01,NA,-0.04,-0.09,NA,0.05,0.03,NA,-0.05,-0.03,0.1,0.05,0.09,-0.07,-0.08,-0.03,0.1,-0.07,-0.02,0,0.07,0.05,0.05,NA,-0.03,20,10.02,49.93,-0.04,-0.07,19.94,0,-0.05,0.07,0.04,-0.09,-0.01,-0.02,0.01
"91","V. Nkala","Eastern Niasland","FW",30,1990,0.31,-0.08,0.09,-0.04,NA,0.01,0.08,NA,NA,NA,0.05,0.04,0.05,-0.07,-0.06,NA,0.03,-0.07,16.74,26.79,62.41,316.63,169.98,10.07,10.02,99.93,3.31,10.05,33.32,3.28,6.69,50.01,-0.07,-0.07,0.07,0.05,3.36,0.03,0.02,6.68,3.42,3.35,0.04,3.29,0.1,0.04,3.24,0.06,3.24,10.02,6.73,66.62,-0.03,6.64,3.37,0,-0.03,0.05,-0.09,-0.03,3.37,0.06,-0.06
"92","L. Lau","Eastern Niasland","FWDF",33,1987,0.82,0.1,0,0.01,NA,-0.02,0.05,NA,NA,NA,0.05,0.05,0.1,-0.09,-0.04,NA,0.01,-0.01,17.6,21.3,82.48,304.97,32.53,8.74,9.96,87.5,7.55,10.03,74.96,1.26,1.16,99.93,-0.02,-0.09,0.08,-0.07,-0.02,-0.05,0.1,1.28,0.03,0.03,0.06,-0.08,-0.04,-0.07,1.29,0.08,1.25,9.94,4.95,49.94,2.47,4.94,2.52,2.54,1.26,1.16,1.32,0.05,0.08,0.02,0
"99","A. Mwesige","Eastern Niasland","MFFW",23,1997,0.18,-0.01,10.02,0.09,-0.1,6.84,-0.03,-0.02,NA,7,0.07,-0.06,0.01,-0.06,0.09,0.09,0.06,0.04,20.02,19.91,99.91,300.04,-0.02,10.05,9.99,100.02,9.92,9.9,99.99,0,-0.03,NA,-0.06,0,0.06,0.02,-0.09,-0.07,-0.01,-0.02,0.07,-0.1,0.08,-0.08,0.04,-0.02,0.01,NA,-0.1,29.96,0.08,0.04,10.08,9.93,9.92,10.03,0.02,-0.08,10.05,0.03,0.05,0.02,0.09
"100","I. bin Hassan","Eastern Niasland","MFFW",24,1996,0.68,-0.03,0.02,0.01,NA,0.09,0.03,NA,NA,NA,-0.09,0.08,0.01,-0.07,0.02,NA,-0.1,-0.07,21.7,28.24,76.52,355.05,69.94,10.03,10,100.06,11.64,11.8,99.99,-0.01,6.58,0.07,-0.09,0.02,0.04,1.68,3.34,0.03,0.09,1.66,1.7,-0.03,1.71,0.08,-0.06,1.69,6.59,24.98,5.06,26.73,5.01,18.79,5.06,16.69,4.9,1.67,0.06,-0.08,1.65,1.77,3.26,4.94,0.04
"101","Z. Banda","Eastern Niasland","MFFW",21,1999,3.08,0.05,2.04,-0.08,0.05,2.04,0.06,-0.01,NA,15.52,-0.02,-0.09,-0.05,0.19,0.22,-0.01,-0.19,-0.14,31.28,35.33,88.72,557.37,124.97,13.02,14.37,90.78,14.1,15.23,91.28,3.35,3.62,90.89,-0.03,-0.07,0.08,0.25,2.33,0.27,-0.02,3.6,1.35,0.69,1.09,0.32,-0.05,0.38,0.92,33.29,0.65,13.98,4.75,33.32,2.38,7.94,3.59,0.57,0.09,-0.09,0.74,0.67,2.06,0.74,0.33
"109","U. Namugerwa","Eastern Sleboube","DFFW",28,1993,2,-0.07,0.57,0.54,99.98,0.55,0.57,-0.07,0.06,17.28,0.06,0.05,-0.04,0.02,0.05,0.04,-0.01,-0.11,40.44,47.51,85.05,710.45,188.96,18,19.51,92.66,18.62,21.06,88.55,3.37,5.68,58.31,-0.06,0.09,0.08,0.5,2.29,1.4,0.96,1.94,2.31,1.37,2.33,0.08,0.03,0.89,1.88,50.04,0.99,11,3.72,34.76,7.55,2.36,1,0.02,-0.06,-0.07,-0.01,0.45,2.78,2.29,-0.08
"111","Q. Kemigisa","Eastern Sleboube","FW",23,1997,0.38,0.01,-0.05,-0.04,NA,-0.03,-0.07,NA,NA,NA,0.08,-0.09,-0.09,0.04,-0.05,NA,0.05,0.05,27.46,34.93,78.7,424.97,137.52,15.06,17.48,85.75,12.59,17.47,71.36,-0.07,-0.01,NA,0.05,0.17,-0.23,2.43,0.07,2.41,-0.06,4.97,-0.01,0.07,-0.04,0.06,-0.08,0.08,-0.08,NA,-0.04,15.04,4.9,33.33,0.02,2.42,12.46,2.59,-0.06,0,2.54,0.03,0.09,2.5,0
"112","V. Kyomuhangi","Eastern Sleboube","FW",32,1988,2.86,0.43,1.33,0.29,25.05,1.44,0.34,0.07,-0.06,16,0.42,0.35,0.06,0.29,0.08,0.06,0.05,-0.04,17.23,28.36,60.99,208.54,54.53,9.96,14.46,69.03,4.49,7.68,59.1,0.42,1.48,25,0.39,0.14,0.27,1.69,0.95,0.7,-0.02,1.39,-0.01,0.03,0.04,-0.09,0.01,0.04,-0.01,NA,0.01,10.06,3.75,37.97,2.03,4.58,3.48,1.31,0.41,0.03,0.96,-0.05,-0.01,0.71,0.09
"113","W. Ghosh","Eastern Sleboube","FWMF",30,1990,0.35,-0.07,-0.09,0.05,NA,-0.04,0.06,NA,NA,NA,-0.08,-0.08,0.06,0.08,-0.09,NA,0.03,0.02,5,7.49,66.74,80.02,7.45,2.46,5.01,50.03,2.59,2.56,100.02,0.02,-0.03,NA,-0.02,0.09,-0.07,2.51,0.1,-0.06,0.04,0.08,2.49,2.56,2.48,-0.06,0.03,0.04,0.06,NA,-0.04,17.43,5.01,28.67,2.5,7.48,7.58,2.48,-0.08,0.09,2.51,-0.07,2.59,0,0.08
"119","D. Rahmawati","Eastern Sleboube","MFFW",25,1995,1.82,0.56,1.07,0.53,49.93,1.04,0.6,0.4,0.92,16.71,0.1,-0.08,0.59,0.13,0.21,0.07,0.5,0.34,24.18,31.14,77.91,388.49,88.95,11.69,13.16,87.95,11.12,12.66,87.59,1,3.15,33.29,-0.07,0.32,-0.24,2.17,2.7,2.57,-0.07,4.82,0.98,0.48,-0.06,0.57,0.5,0.57,1.09,50.06,0.52,16.26,6.4,38.74,1.01,8.44,6.92,1.02,0.09,0,0.97,0.02,1.08,0.01,0.07
"120","L. Prasad","Eastern Sleboube","MFFW",24,1996,3.03,0.1,1.72,0.26,19.96,1.61,0.3,-0.04,-0.1,20.66,-0.03,-0.02,-0.01,0.14,0.08,0.08,-0.14,-0.09,33.25,43.32,76.84,616,187.2,13.95,16.05,87.42,12.99,17.03,76.43,5.08,8.37,60.09,-0.04,0.09,0,1.08,1.75,1.97,1.31,3.27,1.65,1.6,0.24,0.66,0.75,1.1,1.31,75.04,0.26,20.77,5.65,27.44,2.95,10.34,7.41,2.08,0.05,-0.1,1.91,1.02,2.64,0.06,-0.06
"121","W. Bwanali","Eastern Sleboube","MFFW",26,1994,2.68,0.05,1.12,-0.02,-0.08,1.06,-0.07,0.03,NA,21.07,0.02,0.08,-0.07,0.1,0.11,0.13,0.01,-0.14,31.57,40.64,77.38,601.17,97.38,12.54,15.97,79.08,13.32,16.28,81.75,5.25,6.96,73.64,-0.04,0.14,-0.1,0.29,2.13,0.32,0.01,1.49,2.9,1.44,1.02,1.82,0.03,0.82,3.4,22.14,2.52,22.7,4.75,21.21,7.33,11.41,3.69,1.92,0.41,-0.06,1.39,2.3,5.24,0.82,0.29
